Entry;name;Number
325;Hogan Ference;6
326;[UNUSED] Brother Ictharin;1
327;Goldtooth;1
328;Zaldimar Wefhellt;1
329;Earth Elemental;13
330;Princess;1
331;Maginor Dumas;1
332;Master Mathias Shaw;1
333;[UNUSED] Edwardo the Jester;11
334;Gath'Ilzogg;2
335;Singe;3
336;[UNUSED] Rin Tal'Vara;14
338;Mazen Mac'Nadir;12
339;[UNUSED] Helgor the Pugilist;5
340;Kendor Kabonka;1
341;Foreman Oslow;2
342;Martie Jainrose;2
343;Chef Breanna;8
344;Magistrate Solomon;2
345;Bellygrub;2
346;Barkeep Daniels;5
347;Grizzle Halfmane;24
348;Zem Leeward;3
349;Corporal Keeshan;23
351;Peasant;1
352;Dungar Longdrink;2
353;Antonia Dart;6
354;[UNUSED] Grall Twomoons;1
356;Riding Wolf (Black);11
358;Riding Wolf (Brown);11
359;Riding Wolf (Winter);11
361;Saytr;1
364;Slime;1
365;Scott's Flying Mount;1
370;Boy;1
371;Girl;1
372;Karm Ironquill;6
373;Murak Winterborn;14
374;Cog Glitzspinner;5
375;Priestess Anetta;1
376;High Priestess Laurena;1
377;Priestess Josetta;1
379;Darcy;2
380;[UNUSED] Waldin Thorbatt;3
381;Dockmaster Baren;8
382;Marshal Marris;2
383;Jason Mathers;1
384;Katie Hunter;11
385;Horse;1
386;[UNUSED] Ulric the Grim;2
387;Lord Sammuel;14
388;Bromos Murphy;14
389;Lord Lantinga;14
390;Porcine Entourage;1
391;Old Murk-Eye;2
392;Captain Grayson;1
393;Tame Wolf;1
395;Markus;1
397;Morganth;2
399;Boy - placeholder 05;1
400;Boy - placeholder 06;1
401;Boy - placeholder 07;1
402;Boy - placeholder 08;1
403;Boy - placeholder 09;1
404;Girl - placeholder 01;1
405;Girl - placeholder 02;1
406;Girl - placeholder 03;1
407;Girl - placeholder 04;1
408;Girl - placeholder 05;1
409;Girl - placeholder 06;1
410;Girl - placeholder 07;1
411;Girl - placeholder 08;1
412;Stitches;6
415;Verner Osgood;2
416;Imp;1
417;Felhunter;5
418;Lesser Voidwalker;2
421;Murphestos;1
422;Murloc Flesheater;2
423;Redridge Mongrel;2
424;Redridge Poacher;2
426;Redridge Brute;2
428;Dire Condor;2
429;Shadowhide Darkweaver;3
430;Redridge Mystic;2
431;Shadowhide Slayer;3
432;Shadowhide Brute;3
433;Shadowhide Gnoll;2
434;Rabid Shadowhide Gnoll;2
435;Blackrock Champion;3
436;Blackrock Shadowcaster;2
437;Blackrock Renegade;2
440;Blackrock Grunt;2
441;Black Dragon Whelp;2
442;Tarantula;2
444;[UNUSED] Goreripper;3
445;Redridge Alpha;2
446;Redridge Basher;2
448;Hogger;1
449;Defias Knuckleduster;2
450;Defias Renegade Mage;2
452;Riverpaw Bandit;2
453;Riverpaw Mystic;2
454;Young Goretusk;1
456;Murloc Minor Oracle;2
458;Murloc Hunter;2
459;Drusilla La Salle;1
460;Alamar Grimm;1
461;Demisette Cloyce;1
462;Vultros;3
464;Guard Parker;2
465;Barkeep Dobbins;1
466;General Marcus Jonathan;3
467;The Defias Traitor;4
468;Town Crier;6
469;Lieutenant Doren;11
470;[UNUSED] Scribe Colburg;6
471;Mother Fang;1
472;Fedfennel;1
473;Morgan the Collector;1
474;Defias Rogue Wizard;1
475;Kobold Tunneler;1
476;Kobold Geomancer;1
478;Riverpaw Outrunner;1
480;Rusty Harvest Golem;1
481;Defias Footpad;2
482;Elling Trias;5
483;Elaine Trias;5
485;Blackrock Outrunner;2
486;Tharil'zun;2
487;Protector Bialon;8
488;Protector Weaver;8
489;Protector Dutfield;8
490;Protector Gariel;8
491;Quartermaster Lewis;2
494;Watcher Bukouris;6
495;Watcher Keefer;10
496;[UNUSED] Watcher Kleeman;5
497;[UNUSED] Watcher Benjamin;5
498;[UNUSED] Watcher Larsen;2
499;Watcher Paige;5
500;Riverpaw Scout;1
501;Riverpaw Herbalist;2
502;Benny Blaanco;2
503;Lord Malathrom;5
504;Defias Trapper;2
505;Greater Tarantula;2
506;Sergeant Brashclaw;2
507;Fenros;7
509;[UNUSED] Long Fang;5
510;Water Elemental;1
511;Insane Ghoul;3
513;Murloc Netter;2
514;Smith Argus;1
515;Murloc Raider;1
516;[UNUSED] Riverpaw Hunter;2
517;Murloc Oracle;2
518;Yowler;2
519;Slark;2
520;Brack;2
521;Lupos;3
522;Mor'Ladim;5
523;Thor;2
524;Rockhide Boar;1
525;Mangy Wolf;1
531;Skeletal Fiend;3
533;Nightbane Shadow Weaver;5
534;Nefaru;7
535;[UNUSED] Savar;5
536;[UNUSED] Rhal'Del;5
538;[UNUSED] Buk'Cha;5
539;Pygmy Venom Web Spider;3
541;Riding Gryphon;2
542;Califex of the Deep Wood;14
543;Nalesette Wildbringer;13
544;Murloc Nightcrawler;2
545;Murloc Tidecaller;7
547;Great Goretusk;2
548;Murloc Minor Tidecaller;2
550;Defias Messenger;2
564;Kobold Slave;1
565;Rabid Dire Wolf;3
566;V'rex;2
567;Blacknails;2
568;Shadowhide Warrior;3
569;Green Recluse;3
570;Brain Eater;5
572;Leprithus;2
573;Foe Reaper 4000;2
574;Naraxis;3
575;Fire Elemental;10
576;Watcher Ladimore;5
578;Murloc Scout;2
579;Shadowhide Assassin;3
580;Redridge Drudger;2
582;Old Blanchy;1
583;Defias Ambusher;1
584;Kazon;3
586;[UNUSED] Watcher Kern;5
587;Bloodscalp Warrior;10
588;Bloodscalp Scout;10
589;Defias Pillager;2
590;Defias Looter;2
592;[UNUSED] Defias Arsonist;2
594;Defias Henchman;4
595;Bloodscalp Hunter;10
596;Brainwashed Noble;2
597;Bloodscalp Berserker;10
598;Defias Miner;4
599;Marisa du'Paige;2
601;Capo the Mean;2
603;Grimtooth;23
604;Plague Spreader;3
605;[UNUSED] Mr. Whipple;3
606;[UNUSED] Mrs. Whipple;3
607;[UNUSED] Johnny Whipple;3
609;[UNUSED] Grandpa Whipple;3
610;[UNUSED] Rabid Gina Whipple;5
611;[UNUSED] Rabid Mr. Whipple;5
612;[UNUSED] Rabid Mrs. Whipple;5
613;[UNUSED] Rabid Johnny Whipple;5
614;[UNUSED] Rabid Grandpa Whipple;6
615;Blackrock Tracker;3
616;Chatter;2
619;Defias Conjurer;4
620;Chicken;1
622;Goblin Engineer;4
623;Skeletal Miner;4
624;Undead Excavator;4
625;Undead Dynamiter;4
626;Foreman Thistlenettle;4
628;Black Ravager;3
631;pnagle's test dude;1
633;Elaine Carevin;5
634;Defias Overseer;4
636;Defias Blackguard;4
638;Goblin Mercenary;2
639;Edwin VanCleef;4
641;Goblin Woodcarver;4
642;Sneed's Shredder;4
643;Sneed;4
644;Rhahk'Zor;4
645;Cookie;4
646;Mr. Smite;4
647;Captain Greenskin;4
648;Bridge Worker Trent;1
649;Bridge Worker Dmitri;1
650;Bridge Worker Jess;1
651;Bridge Worker Daniel;1
652;Bridge Worker Matthew;1
653;Bridge Worker Alex;1
656;Wilder Thistlenettle;4
657;Defias Pirate;4
658;Sten Stoutarm;1
659;El Pollo Grande;22
660;Bloodscalp Witch Doctor;10
661;Jonathan Carevin;5
663;Calor;5
664;Benjamin Carevin;3
667;Skullsplitter Warrior;10
669;Skullsplitter Hunter;10
670;Skullsplitter Witch Doctor;10
671;Bloodscalp Headhunter;10
672;Skullsplitter Spiritchaser;11
674;Venture Co. Strip Miner;10
675;Venture Co. Foreman;10
676;Venture Co. Surveyor;10
677;Venture Co. Tinkerer;10
678;Mosh'Ogg Mauler;11
679;Mosh'Ogg Shaman;11
680;Mosh'Ogg Lord;11
681;Young Stranglethorn Tiger;10
682;Stranglethorn Tiger;10
683;Young Panther;10
684;Shadowmaw Panther;10
685;Stranglethorn Raptor;10
686;Lashtail Raptor;10
687;Jungle Stalker;10
688;Stone Maw Basilisk;10
689;Crystal Spine Basilisk;10
690;Cold Eye Basilisk;10
691;Lesser Water Elemental;13
693;Secondary Skill Trainer;14
694;Bloodscalp Axe Thrower;10
696;Skullsplitter Axe Thrower;10
697;Bloodscalp Shaman;10
698;Bloodscalp Tiger;10
699;Bloodscalp Beastmaster;10
700;Bloodscalp Panther;3
701;Bloodscalp Mystic;10
702;Bloodscalp Scavenger;10
703;Lieutenant Fangore;2
704;Ragged Timber Wolf;1
705;Ragged Young Wolf;1
706;Frostmane Troll Whelp;1
707;Rockjaw Trogg;1
708;Small Crag Boar;1
709;Mosh'Ogg Warmonger;10
710;Mosh'Ogg Spellcrafter;11
711;Ardo Dirtpaw;3
712;Redridge Thrasher;2
713;Balir Frosthammer;1
714;Talin Keeneye;1
715;Hemet Nesingwary;11
716;Barnil Stonepot;11
717;Ajeck Rouack;11
718;Sir S. J. Erlgadin;11
721;Rabbit;1
723;Mosh'Ogg Butcher;11
724;Burly Rockjaw Trogg;1
725;[UNUSED] Skeletal Enforcer;3
727;Ironforge Mountaineer;5
728;Bhag'thera;10
729;Sin'Dall;10
730;Tethis;10
731;King Bangalash;11
732;Murloc Lurker;1
733;Sergeant Yohwa;11
734;Corporal Bluth;10
735;Murloc Streamrunner;1
736;Panther;10
737;Kebok;10
738;Private Thorsen;11
739;Brother Nimetz;11
740;Adolescent Whelp;10
741;Dreaming Whelp;10
742;Green Wyrmkin;10
743;Wyrmkin Dreamwalker;10
744;Green Scalebane;10
745;Scalebane Captain;11
746;Elder Dragonkin;11
747;Marsh Murloc;10
749;Marsh Murkdweller;10
750;Marsh Inkspewer;10
751;Marsh Flesheater;11
752;Marsh Oracle;11
753;[UNUSED] Rebel Soldier;8
754;Rebel Watchman;10
755;Lost One Mudlurker;10
756;Skullsplitter Panther;10
757;Lost One Fisherman;10
758;Skullsplitter Tiger;3
759;Lost One Hunter;10
760;Lost One Muckdweller;10
761;Lost One Seer;10
762;Lost One Riftseeker;10
763;Lost One Chieftain;10
764;Swampwalker;10
765;Swampwalker Elder;10
766;Tangled Horror;10
767;Swamp Jaguar;10
768;Shadow Panther;10
769;Deathstrike Tarantula;10
770;Corporal Kaleb;10
771;Commander Felstrom;5
772;Stranglethorn Tigress;10
773;Krazek;10
775;Kurzen's Agent;11
777;Amy Davenport;2
780;Skullsplitter Mystic;10
781;Skullsplitter Headhunter;11
782;Skullsplitter Scout;10
783;Skullsplitter Berserker;11
784;Skullsplitter Beastmaster;10
785;Skeletal Warder;5
786;Grelin Whitebeard;1
787;Skeletal Healer;5
789;Kimberly Hiett;2
790;Karen Taylor;6
791;Lindsay Ashlock;2
793;Kara Adams;3
794;Matt;1
795;Mark;1
796;Joshua;1
797;Bo;1
798;Solomon;1
799;Kevin;1
800;Kyle;1
801;Eric;1
802;Jay;1
804;Dana;1
805;Cameron;1
806;John;1
807;Lisa;1
808;Grik'nir the Cold;1
809;[UNUSED] Smith Theo;3
810;Aaron;1
811;Jose;1
812;Alma Jainrose;6
813;Colonel Kurzen;10
814;Sergeant Malthus;10
815;Bookie Herod;10
818;Mai'Zoth;11
819;Servant of Ilgalar;3
820;Scout Riell;4
821;Captain Danuvin;1
822;Young Forest Bear;1
823;Deputy Willem;1
824;Defias Digger;4
826;Watcher Jan;10
827;Watcher Mocarski;6
828;Watcher Petras;6
829;Adlin Pridedrift;1
830;Sand Crawler;2
831;Sea Crawler;2
832;Dust Devil;2
833;Coyote Packleader;1
834;Coyote;1
836;Durnan Furcutter;1
837;Branstock Khalder;1
840;Watcher Backus;10
841;Harl Cutter;1
842;Lumberjack;10
843;Gina MacGregor;6
844;Antonio Perelli;6
846;Ghoul;2
847;Nathan;2
848;Madison;2
849;Rachel;2
850;Erin;2
851;Hannah;2
852;Feral Spirit;1
853;Coldridge Mountaineer;11
854;Young Jungle Stalker;10
855;Young Stranglethorn Raptor;10
856;Young Lashtail Raptor;10
857;Donal Osgood;25
858;Sorrow Spinner;10
859;Guard Berton;7
860;Pet Wolf;1
861;Stonard Scout;10
862;Stonard Explorer;10
863;Stonard Hunter;12
864;Stonard Orc;11
865;Stonard Wayfinder;12
866;Stonard Grunt;11
867;Stonard Cartographer;11
868;Stonard Shaman;11
869;Protector Dorana;8
870;Protector Deni;8
871;Saltscale Warrior;10
873;Saltscale Oracle;10
874;Protector Korelor;8
875;Saltscale Tide Lord;10
876;Protector Leick;8
877;Saltscale Forager;10
878;Scout Galiaan;2
879;Saltscale Hunter;10
880;Erlan Drudgemoor;1
881;Surena Caledon;1
882;Bone Caster;14
883;Deer;1
885;Watcher Keller;10
886;Watcher Hartin;6
887;Watcher Jordan;10
888;Watcher Dodds;3
889;Splinter Fist Ogre;3
890;Fawn;1
891;Splinter Fist Fire Weaver;3
892;Splinter Fist Taskmaster;3
893;Lars;3
894;Homer Stonefield;1
895;Thorgas Grimson;1
896;Veldan Lightfoot;1
897;[UNUSED] Brannon Aybara (TEMP);14
898;Nightbane Worgen;7
900;Bailiff Conacher;2
903;Guard Howe;3
904;[UNUSED] Regna Khurn;1
905;Sharptooth Frenzy;10
906;Maximillian Crowe;1
907;Keras Wolfheart;25
908;Flora Silverwind;10
909;Defias Night Blade;3
910;Defias Enchanter;3
911;Llane Beshere;1
912;Thran Khorman;1
913;Lyria Du Lac;1
914;Ander Germaine;1
915;Jorik Kerridan;1
916;Solm Hargrin;1
917;Keryn Sylvius;1
918;Osborne the Night Man;1
919;[UNUSED] [PH] Berail Spiritwhisper;1
920;Nightbane Tainted One;5
921;Venture Co. Lumberjack;10
922;Silt Crawler;10
923;Young Black Ravager;3
924;[UNUSED] Lesser Arachnid;3
925;Brother Sammuel;1
926;Bromos Grummner;1
927;Brother Wilhelm;1
928;Lord Grayson Shadowbreaker;1
929;Dreadlord Malganis;14
930;Black Widow Hatchling;3
931;Ariena Stormfeather;2
932;Guard Ashlock;8
933;Guard Hiett;8
934;Guard Clarke;8
935;Guard Pearce;8
936;Guard Adams;8
937;Kurzen Jungle Fighter;10
938;Kurzen Commando;10
939;Kurzen Elite;10
940;Kurzen Medicine Man;10
941;Kurzen Headshrinker;10
942;Kurzen Witch Doctor;10
943;Kurzen Wrangler;10
944;Marryk Nurribit;1
945;Rybrad Coldbank;1
946;Frostmane Novice;1
947;Rohh the Silent;3
948;Rotted One;3
949;Carrion Recluse;3
950;Swamp Talker;13
951;Brother Paxton;2
952;Brother Neals;13
953;Spawn Test One;2
954;Kat Sampson;2
955;Sergeant De Vries;1
956;Dorin Songblade;2
957;Dane Lindgren;6
958;Dawn Brightstar;1
959;Morley Eberlein;1
960;Gunder Thornbush;6
963;Deputy Rainer;1
976;Kurzen War Tiger;10
977;Kurzen War Panther;10
978;Kurzen Subchief;10
979;Kurzen Shadow Hunter;10
980;Grimnal;10
981;Hartash;10
982;Thultash;10
983;Thultazor;10
984;Thralosh;10
985;Malosh;10
986;Haromm;10
987;Ogromm;10
988;Kartosh;10
989;Banalash;10
994;Nahr'ek da Howler;1
995;Nahr'ek's Pack;1
996;Master Tailor;14
999;Watcher Royce;6
1000;Watcher Blomberg;3
1001;Watcher Hutchins;3
1007;Mosshide Gnoll;3
1008;Mosshide Mongrel;3
1009;Mosshide Mistweaver;3
1010;Mosshide Fenrunner;3
1011;Mosshide Trapper;3
1012;Mosshide Brute;3
1013;Mosshide Mystic;3
1014;Mosshide Alpha;3
1015;Highland Raptor;3
1016;Highland Lashtail;3
1017;Highland Scytheclaw;3
1018;Highland Razormaw;7
1019;Elder Razormaw;7
1020;Mottled Raptor;3
1021;Mottled Screecher;3
1022;Mottled Scytheclaw;3
1023;Mottled Razormaw;3
1024;Bluegill Murloc;3
1025;Bluegill Puddlejumper;3
1026;Bluegill Forager;3
1027;Bluegill Warrior;3
1028;Bluegill Muckdweller;3
1029;Bluegill Oracle;3
1030;Black Slime;3
1031;Crimson Ooze;3
1032;Black Ooze;3
1033;Monstrous Ooze;3
1034;Dragonmaw Raider;3
1035;Dragonmaw Swamprunner;3
1036;Dragonmaw Centurion;5
1037;Dragonmaw Battlemaster;5
1038;Dragonmaw Shadowwarder;5
1039;Fen Dweller;3
1040;Fen Creeper;3
1041;Fen Lord;3
1042;Red Whelp;3
1043;Lost Whelp;3
1044;Flamesnorting Whelp;7
1045;Red Dragonspawn;13
1046;Red Wyrmkin;14
1047;Red Scalebane;14
1048;Scalebane Lieutenant;14
1049;Wyrmkin Firebrand;14
1050;Scalebane Royal Guard;14
1051;Dark Iron Dwarf;7
1052;Dark Iron Saboteur;7
1053;Dark Iron Tunneler;7
1054;Dark Iron Demolitionist;7
1055;Dreamhunter;11
1056;Emerald Sentinel;11
1057;Dragonmaw Bonewarder;5
1058;[UNUSED] Truek;10
1059;Ana'thek the Cruel;11
1060;Mogh the Undying;11
1061;Gan'zulah;11
1062;Nezzliok the Dire;11
1063;Jade;12
1064;Grom'gol Grunt;12
1065;Riverpaw Shaman;1
1066;Mottled Riptooth;3
1067;Riverpaw Scavenger;1
1068;Gorn;13
1069;Crimson Whelp;3
1070;Deputy Feldon;2
1071;Longbraid the Grim;3
1072;Roggo Harlbarrow;5
1073;Ashlan Stonesmirk;3
1074;Motley Garmason;7
1075;Rhag Garmason;6
1076;Merrin Rockweaver;3
1077;Prospector Whelgar;3
1078;Ormer Ironbraid;10
1081;Mire Lord;10
1082;Sawtooth Crocolisk;10
1083;Murloc Shorestriker;2
1084;Young Sawtooth Crocolisk;10
1085;Elder Stranglethorn Tiger;10
1087;Sawtooth Snapper;10
1088;Monstrous Crawler;11
1089;Mountaineer Cobbleflint;8
1090;Mountaineer Wallbang;8
1091;Mountaineer Gravelgaw;8
1092;Captain Rugelfuss;2
1093;Chief Engineer Hinderweir VII;3
1094;Venture Co. Miner;10
1095;Venture Co. Workboss;10
1096;Venture Co. Geologist;10
1097;Venture Co. Mechanic;10
1098;Watcher Merant;3
1099;Watcher Gelwin;3
1100;Watcher Selkin;3
1101;Watcher Thayer;3
1103;Eldrin;6
1104;Grundel Harkin;1
1105;Jern Hornhelm;1
1106;Lost One Cook;10
1108;Mistvale Gorilla;10
1109;Fleshripper;2
1110;Skeletal Raider;5
1111;Leech Stalker;3
1112;Leech Widow;3
1114;Jungle Thunderer;10
1115;Rockjaw Skullthumper;1
1116;Rockjaw Ambusher;1
1117;Rockjaw Bonesnapper;1
1118;Rockjaw Backbreaker;1
1119;Hammerspine;1
1120;Frostmane Troll;1
1121;Frostmane Snowstrider;1
1122;Frostmane Hideskinner;1
1123;Frostmane Headhunter;1
1124;Frostmane Shadowcaster;1
1125;Crag Boar;1
1126;Large Crag Boar;1
1127;Elder Crag Boar;1
1128;Young Black Bear;1
1129;Black Bear;1
1130;Bjarn;1
1131;Winter Wolf;1
1132;Timber;1
1133;Starving Winter Wolf;1
1134;Young Wendigo;1
1135;Wendigo;1
1137;Edan the Howler;1
1138;Snow Tracker Wolf;1
1139;Magistrate Bluntnose;2
1140;Razormaw Matriarch;9
1141;Angus Stern;10
1142;Mosh'Ogg Brute;10
1144;Mosh'Ogg Witch Doctor;10
1146;Vharr;10
1147;Hragran;10
1148;Nerrist;10
1149;Uthok;10
1150;River Crocolisk;10
1151;Saltwater Crocolisk;10
1152;Snapjaw Crocolisk;10
1153;Torren Squarejaw;2
1154;Marek Ironheart;8
1155;Kelt Thomasin;2
1156;Vyrin Swiftwind;2
1157;Cursed Sailor;5
1158;Cursed Marine;5
1159;First Mate Snellig;5
1160;Captain Halyndor;5
1161;Stonesplinter Trogg;1
1162;Stonesplinter Scout;1
1163;Stonesplinter Skullthumper;2
1164;Stonesplinter Bonesnapper;2
1165;Stonesplinter Geomancer;2
1166;Stonesplinter Seer;2
1167;Stonesplinter Digger;2
1169;Dark Iron Insurgent;2
1171;Dark Iron Guerrilla;2
1172;Tunnel Rat Vermin;1
1173;Tunnel Rat Scout;1
1174;Tunnel Rat Geomancer;1
1175;Tunnel Rat Digger;1
1176;Tunnel Rat Forager;1
1177;Tunnel Rat Surveyor;2
1178;Mo'grosh Ogre;2
1179;Mo'grosh Enforcer;2
1180;Mo'grosh Brute;2
1181;Mo'grosh Shaman;2
1182;Brother Anton;10
1183;Mo'grosh Mystic;2
1184;Cliff Lurker;2
1185;Wood Lurker;2
1186;Elder Black Bear;1
1187;Daryl the Youngling;2
1188;Grizzled Black Bear;2
1189;Black Bear Patriarch;2
1190;Mountain Boar;1
1191;Mangy Mountain Boar;2
1192;Elder Mountain Boar;2
1193;Loch Frenzy;1
1194;Mountain Buzzard;2
1195;Forest Lurker;1
1196;Ice Claw Bear;1
1197;Stonesplinter Shaman;2
1198;Rallic Finn;2
1199;Juvenile Snow Leopard;1
1200;Morbent Fel;5
1201;Snow Leopard;1
1202;Tunnel Rat Kobold;1
1203;Watcher Sarys;6
1204;Watcher Corwin;6
1205;Grawmug;2
1206;Gnasher;2
1207;Brawler;2
1210;Chok'sul;2
1211;Leper Gnome;1
1212;Bishop Farthing;5
1213;Godric Rothgar;1
1214;Aldren Cordon;2
1215;Alchemist Mallory;6
1216;Shore Crawler;2
1217;Glorin Steelbrow;3
1218;Herbalist Pomeroy;6
1222;Dark Iron Sapper;2
1224;Young Threshadon;2
1225;Ol' Sooty;2
1226;Maxan Anvol;1
1227;Rygal Rocknell;26
1228;Magis Sparkmantle;1
1229;Granis Swiftaxe;1
1230;[UNUSED] Lexin Haze;1
1231;Grif Wildheart;1
1232;Azar Stronghammer;1
1233;[UNUSED] Shaethis Darkoak;21
1234;Hogral Bakkan;1
1235;[UNUSED] Maryann Grapefoot;1
1236;Kobold Digger;1
1237;Kazan Mogosh;1
1238;Gamili Frosthide;1
1239;First Mate Fitzsimmons;3
1240;Boran Ironclink;1
1241;Tognus Flintfire;6
1242;Karl Boran;3
1243;Hegnar Rumbleshot;13
1244;Rethiel the Greenwarden;3
1245;Kogan Forgestone;6
1246;Vosur Brakthel;6
1247;Innkeeper Belm;10
1249;Quartermaster Hudson;1
1250;Drake Lindgren;6
1251;Splinter Fist Firemonger;5
1252;Senir Whitebeard;1
1253;Father Gavin;2
1254;Foreman Stonebrow;1
1255;Prospector Gehn;1
1256;Quarrymaster Thesten;1
