SpellList;Name;Patch
25136;Formula: Wizard Oil;27
25137;Formula: Brilliant Wizard Oil;27
25138;Formula: Brilliant Mana Oil;27
25146;Transmute: Elemental Fire;27
25147;Recipe: Transmute Elemental Fire;27
25162;Summon Disgusting Oozeling;27
25186;Super Crystal;27
25289;Battle Shout;27
25300;Backstab;27
25302;Feint;27
25347;Deadly Poison V;27
25351;Deadly Poison V;27
25599;Thundercrash;27
25656;Sand Trap;27
25658;Recipe: Dirge's Kickin' Chimaerok Chops;27
25659;Dirge's Kickin' Chimaerok Chops;27
25660;Food;27
25688;Narain!;27
25690;Brain Food;27
25691;Brain Food;27
25692;Brain Food;27
25693;Brain Food;27
25700;Food;27
25702;Food;27
25704;Smoked Sagefish;27
25705;Recipe: Smoked Sagefish;27
25719;Bind Draconic For Dummies;27
25720;Place Loot;27
25722;Rumsey Rum Dark;27
25746;Damage Absorb;27
25747;Damage Absorb;27
25750;Damage Absorb;27
25783;Place Arcanite Buoy;27
25793;Demon Summoning Torch;27
25861;Call Scepter DND;27
25886;Food;27
25888;Food;27
25891;Earthstrike;27
25892;Grace of Earth;27
25901;Weapon Damage 04;27
25906;Spell Blasting;27
25907;Spell Blasting;27
25940;Frostbolt;27
25953;Summon Blue Qiraji Battle Tank;27
25954;Sagefish Delight;27
25955;Recipe: Sagefish Delight;27
25958;Heroic Strike;27
25959;Battle Shout;27
25960;Revenge;27
25961;Blessing of Wisdom;27
25962;Blessing of Might;27
25963;Holy Light;27
25964;Healing Wave;27
25965;Strength of Earth Totem;27
25966;Grace of Air Totem;27
25967;Multi-Shot;27
25968;Serpent Sting;27
25969;Aspect of the Hawk;27
25970;Healing Touch;27
25971;Starfire;27
25972;Rejuvenation;27
25973;Backstab;27
25974;Deadly Poison;27
25975;Increased Spell Penetration 10;27
25976;Feint;27
25978;Fireball;27
25979;Arcane Missiles;27
25980;Shadow Bolt;27
25981;Immolate;27
25982;Corruption;27
25983;Greater Heal;27
25984;Renew;27
25985;Prayer of Healing;27
26010;Summon Tranquil Mechanical Yeti;27
26011;Tranquil Mechanical Yeti;27
26012;Tranquil Mechanical Yeti;27
26054;Summon Red Qiraji Battle Tank;27
26055;Summon Yellow Qiraji Battle Tank;27
26056;Summon Green Qiraji Battle Tank;27
26066;Defender of the Timbermaw;27
26085;Soul Pouch;27
26086;Felcloth Bag;27
26087;Core Felcloth Bag;27
26088;Pattern: Soul Pouch;27
26089;Pattern: Felcloth Bag;27
26091;Pattern: Core Felcloth Bag;27
26108;Glimpse of Madness;27
26137;Rotate Trigger;27
26142;Increase Spell Dam 53;27
26155;Increase Spell Dam 59;27
26158;Increase Spell Dam 60;27
26166;Obsidian Insight;27
26167;Colossal Smash;27
26168;Chitinous Spikes;27
26228;Increase Healing 121;27
26283;Increased Spell Penetration 20;27
26391;Tentacle Call;27
26395;Increase Spell Dam 72;27
26400;Arcane Shroud;27
26405;Increase Fire Dam 57;27
26415;Shock;27
26460;Increase Spell Dam 76;27
26461;Increase Healing 143;27
26463;Mercurial Shield;27
26465;Mercurial Shield;27
26467;Persistent Shield;27
26480;Badge of the Swarmguard;27
26481;Insight of the Qiraji;27
26587;Opening Scarab Coffer;27
26588;Opening Greater Scarab Coffer;27
26656;Summon Black Qiraji Battle Tank;27
26693;Drain Life;27
26789;Shard of the Fallen Star;27
26814;Increase Healing 187;27
28745;Quest - Prepare Field Duty Papers;27
29073;Food;27
29506;The Burrower's Shell;27
17320;Increase Healing 84;26
18031;Increase Healing 40;26
18040;Increase Healing 64;26
21509;Increase Holy Dam 16;26
24427;Diamond Flask;26
24654;Blue Dragonscale Leggings;26
24655;Green Dragonscale Gauntlets;26
24656;Blue Dragonscale Leggings;26
24657;Green Dragonscale Gauntlets;26
24696;Summon Murky;26
24703;Dreamscale Breastplate;26
24704;Pattern: Dreamscale Breastplate;26
24748;Twilight Cultist Disguise;26
24782;Twilight Cultist Disguise;26
24800;Food;26
24801;Smoked Desert Dumplings;26
24802;Smoked Desert Dumplings;26
24803;Abyssal Punishment;26
24815;Draw Ancient Glyphs;26
24833;Holy Mightstone;26
24846;Spitfire Bracers;26
24847;Spitfire Gauntlets;26
24848;Spitfire Breastplate;26
24849;Sandstalker Bracers;26
24850;Sandstalker Gauntlets;26
24851;Sandstalker Breastplate;26
24854;Mana Spring Totem;26
24855;Pattern: Spitfire Bracers;26
24856;Pattern: Spitfire Gauntlets;26
24859;Pattern: Spitfire Breastplate;26
24860;Pattern: Sandstalker Bracers;26
24861;Pattern: Sandstalker Gauntlets;26
24862;Pattern: Sandstalker Breastplate;26
24865;Sanctified Orb;26
24874;Create Crest of Beckoning: Fire;26
24885;Create Crest of Beckoning: Air;26
24887;Create Crest of Beckoning: Earth;26
24888;Create Crest of Beckoning: Water;26
24889;Create Signet of Beckoning: Fire;26
24890;Create Signet of Beckoning: Air;26
24891;Create Signet of Beckoning: Earth;26
24892;Create Signet of Beckoning: Water;26
24895;Create Scepter of Beckoning: Fire;26
24896;Create Scepter of Beckoning: Air;26
24897;Create Scepter of Beckoning: Earth;26
24898;Create Scepter of Beckoning: Water;26
24901;Runed Stygian Leggings;26
24902;Runed Stygian Belt;26
24903;Runed Stygian Boots;26
24908;Pattern: Runed Stygian Leggings;26
24909;Pattern: Runed Stygian Belt;26
24911;Pattern: Runed Stygian Boots;26
24912;Darkrune Gauntlets;26
24913;Darkrune Helm;26
24914;Darkrune Breastplate;26
24915;Plans: Darkrune Gauntlets;26
24916;Plans: Darkrune Helm;26
24917;Plans: Darkrune Breastplate;26
24940;Black Whelp Tunic;26
24941;Pattern: Black Whelp Tunic;26
24961;Honor Points +82;26
24962;Honor Points +138;26
24963;Honor Points +228;26
24964;Honor Points +378;26
24993;Acid Blast;26
24994;Attack Power - Feral (+154);26
24998;Healing of the Ages;26
27869;Dark Rune;26
3451;Mighty Troll's Blood Potion;25
3456;Recipe: Mighty Troll's Blood Potion;25
7540;Increased 1H Axe;25
7546;Increased 1H Mace;25
13030;Mighty Troll's Blood Potion;25
14098;Demon Slaying 117;25
15815;Attack Power 58;25
15821;Attack Power 72;25
18038;Increase Healing 59;25
18057;Increase Spell Dam 41;25
21628;Increased Mana Regen;25
23562;Block Value 30;25
23932;A-Mid Trigger;25
23935;H-Mid Trigger;25
23936;Mid Trigger;25
23937;ALT -N Trigger;25
23938;ALT -S Trigger;25
23974;Summon Frenzied Bloodseeker Bats;25
23990;Item - Minor Run Speed;25
24053;Hex;25
24081;Summon Spawn of Mar'li;25
24082;Hatch Spider Egg;25
24091;Bloodvine Vest;25
24092;Bloodvine Leggings;25
24093;Bloodvine Boots;25
24094;Pattern: Bloodvine Vest;25
24095;Pattern: Bloodvine Leggings;25
24096;Pattern: Bloodvine Boots;25
24099;Poison Bolt Volley;25
24121;Primal Batskin Jerkin;25
24122;Primal Batskin Gloves;25
24123;Primal Batskin Bracers;25
24124;Blood Tiger Breastplate;25
24125;Blood Tiger Shoulders;25
24126;Pattern: Primal Batskin Jerkin;25
24127;Pattern: Primal Batskin Gloves;25
24128;Pattern: Primal Batskin Bracers;25
24129;Pattern: Blood Tiger Breastplate;25
24130;Pattern: Blood Tiger Shoulders;25
24136;Bloodsoul Breastplate;25
24137;Bloodsoul Shoulders;25
24138;Bloodsoul Gauntlets;25
24139;Darksoul Breastplate;25
24140;Darksoul Leggings;25
24141;Darksoul Shoulders;25
24142;Plans: Bloodsoul Breastplate;25
24143;Plans: Bloodsoul Shoulders;25
24144;Plans: Bloodsoul Gauntlets;25
24145;Plans: Darksoul Breastplate;25
24146;Plans: Darksoul Leggings;25
24147;Plans: Darksoul Shoulders;25
24149;Presence of Might;25
24160;Syncretist's Sigil;25
24161;Death's Embrace;25
24162;Falcon's Call;25
24163;Vodouisant's Vigilant Embrace;25
24164;Presence of Sight;25
24165;Hoodoo Hex;25
24167;Prophetic Aura;25
24168;Animist's Caress;25
24178;Will of Hakkar;25
24184;Servant of Hakkar DND;25
24198;Rune of the Dawn;25
24210;Mark of Arlokk;25
24226;Increase Reputation;25
24241;Decapitate;25
24242;Swift Razzashi Raptor;25
24245;String Together Heads;25
24251;Zulian Slice;25
24252;Swift Zulian Tiger;25
24257;Jeklik's Crushing Blow;25
24262;Summon Brain Wash Totem;25
24264;Extinguish;25
24268;Mar'li's Brain Boost;25
24279;Punctured Voodoo Doll DRU DND;25
24280;Punctured Voodoo Doll HUN DND;25
24281;Punctured Voodoo Doll ROG DND;25
24282;Punctured Voodoo Doll MAG DND;25
24284;Punctured Voodoo Doll PRT DND;25
24285;Punctured Voodoo Doll PAL DND;25
24288;Punctured Voodoo Doll SHM DND;25
24289;Punctured Voodoo Doll WAR DND;25
24290;Punctured Voodoo Doll WLK DND;25
24291;Dragon Slaying 48;25
24292;Dragon Slaying 117;25
24301;Fishing Skill +35;25
24302;Eternium Fishing Line;25
24306;Delusions of Jin'do;25
24314;Threatening Gaze;25
24318;Enrage;25
24324;Blood Siphon;25
24325;Pagle's Point Cast - Create Mudskunk Lure;25
24327;Cause Insanity;25
24328;Corrupted Blood;25
24347;Master Angler;25
24350;Safe Fall;25
24352;Devilsaur Fury;25
24353;Primal Instinct;25
24354;Prayer Beads Blessing;25
24356;Bloodvine Goggles;25
24357;Bloodvine Lens;25
24358;Schematic: Bloodvine Goggles;25
24359;Schematic: Bloodvine Lens;25
24360;Greater Dreamless Sleep;25
24361;Regeneration;25
24363;Mana Regeneration;25
24364;Living Free Action;25
24365;Mageblood Potion;25
24366;Greater Dreamless Sleep Potion;25
24367;Living Action Potion;25
24368;Major Troll's Blood Potion;25
24369;Recipe: Mageblood Potion;25
24370;Recipe: Greater Dreamless Sleep Potion;25
24372;Recipe: Living Action Potion;25
24373;Recipe: Major Troll's Blood Potion;25
24377;Destroy Bijou;25
24382;Spirit of Zanza;25
24383;Swiftness of Zanza;25
24384;Essence Mango;25
24389;Chaos Fire;25
24392;Frosty Zap;25
24399;Dark Iron Boots;25
24400;Plans: Dark Iron Boots;25
24405;Icy Energy;25
24409;Arathi Basin Field Ration;25
24410;Arathi Basin Iron Ration;25
24411;Arathi Basin Enriched Ration;25
24412;First Aid;25
24413;First Aid;25
24414;First Aid;25
24417;Sheen of Zanza;25
24418;Heavy Crocolisk Stew;25
24419;Recipe: Heavy Crocilisk Stew;25
24420;Zandalar Signet of Serenity;25
24421;Zandalar Signet of Mojo;25
24422;Zandalar Signet of Might;25
24425;Spirit of Zandalar;25
24426;Increased Critical Holy Spells;25
24432;Improved Feign Death;25
24433;Improved Wrath/Starfire;25
24434;Improved Kick;25
24436;Copy of Improved Mana/Health Totems;25
24466;Banish;25
24498;Brilliant Light;25
24499;Energized Shield;25
24531;Refocus;25
24532;Burst of Energy;25
24542;Nimble Healing Touch;25
24543;Massive Destruction;25
24544;Arcane Potency;25
24546;Rapid Healing;25
24571;Blood Fury;25
24574;Brittle Armor;25
24585;Drain Life;25
24590;Brittle Armor;25
24595;Increase Spell Dam 24;25
24610;Pagle's Broken Reel;25
24658;Unstable Power;25
24661;Restless Strength;25
24686;Aspect of Mar'li;25
24687;Aspect of Jeklik;25
24688;Aspect of Venoxis;25
24689;Aspect of Thekal;25
24690;Aspect of Arlokk;25
30331;Permanent Sheen of Zanza;25
30336;Permanent Spirit of Zanza;25
30338;Permanent Swiftness of Zanza;25
6465;Trapped Chest;24
16728;Helm of the Great Chief;24
19869;Dragon Orb;24
22247;Suppression Aura;24
23361;Raise Undead Drakonid;24
23628;Heavy Timbermaw Belt;24
23629;Heavy Timbermaw Boots;24
23632;Girdle of the Dawn;24
23633;Gloves of the Dawn;24
23636;Dark Iron Helm;24
23637;Dark Iron Gauntlets;24
23638;Black Amnesty;24
23639;Blackfury;24
23650;Ebon Hand;24
23652;Blackguard;24
23653;Nightfall;24
23662;Wisdom of the Timbermaw;24
23663;Mantle of the Timbermaw;24
23664;Argent Boots;24
23665;Argent Shoulders;24
23666;Flarecore Robe;24
23667;Flarecore Leggings;24
23682;Heroism;24
23684;Aura of the Blue Dragon;24
23687;Lightning Strike;24
23703;Might of the Timbermaw;24
23704;Timbermaw Brawlers;24
23705;Dawn Treaders;24
23706;Golden Mantle of the Dawn;24
23707;Lava Belt;24
23708;Chromatic Gauntlets;24
23709;Corehound Belt;24
23710;Molten Belt;24
23722;Arcane Detonation;24
23787;Powerful Anti-Venom;24
23799;Enchant Weapon - Strength;24
23800;Enchant Weapon - Agility;24
23801;Enchant Bracer - Mana Regeneration;24
23803;Enchant Weapon - Mighty Spirit;24
23804;Enchant Weapon - Mighty Intellect;24
23853;Jubling Cooldown;24
8082;Fishing Skill +25;23
9304;Increase Frost Dam 16;23
17367;Increase Spell Dam 32;23
17829;Increase Arcane Dam 34;23
17875;Increase Fire Dam 40;23
17896;Increase Frost Dam 34;23
17901;Increase Frost Dam 41;23
18033;Increase Healing 46;23
18050;Increase Spell Dam 33;23
21163;Polished Armor;23
21167;Snowball;23
21171;Ryson's Eye in the Sky;23
21355;Planting Guse's Beacon;23
21370;Planting Jeztor's Beacon;23
21371;Planting Mulverick's Beacon;23
21425;Ryson's Eye in the Sky;23
21537;Planting Ryson's Beacon;23
21538;Planting Ryson's Beacon;23
21544;Create Shredder;23
21546;Ryson's All Seeing Eye;23
21565;Create Shredder;23
21600;Vitality;23
21650;Building Fire;23
21728;Planting Ichman's Beacon;23
21729;Planting Slidore's Beacon;23
21730;Planting Vipore's Beacon;23
21794;Frostwolf Muzzle DND;23
21795;Frostwolf Muzzle Effect DND;23
21866;Alterac Ram Collar DND;23
21867;Alterac Ram Collar Effect DND;23
22498;Land Mine Impact;23
22563;Recall;23
22564;Recall;23
23399;Barbaric Bracers;23
23400;Pattern: Barbaric Bracers;23
23442;Everlook Transporter;23
23453;Gnomish Transporter;23
23485;Big Bonfire Damage;23
23507;Snake Burst Firework;23
23508;Schematic: Snake Burst Firework;23
23509;Frostwolf Howler;23
23510;Stormpike Battle Charger;23
23514;Placing Message to the Wildhammer;23
23538;Battle Standard;23
23539;Battle Standard;23
23540;Warsong Gulch Enriched Ration;23
23541;Warsong Gulch Iron Ration;23
23542;Warsong Gulch Field Ration;23
23567;First Aid;23
23568;First Aid;23
23569;First Aid;23
23592;Lightning Bolt;23
23593;Increase Healing 92;23
23594;Increase Shadow Dam 64;23
23595;Luffa;23
23692;Alterac Manna Biscuit;23
23696;First Aid;23
23698;Alterac Spring Water;23
24388;Brain Damage;23
24677;GY Mid Trigger;23
24960;Honor Points +50;23
26260;Food;23
5579;Immune Root/Snare/Stun;22
9294;Increase Fire Dam 16;22
9305;Increase Frost Dam 17;22
11540;Blue Firework;22
11541;Green Firework;22
14127;Increase Spell Dam 28;22
15809;Attack Power 42;22
16742;Enchanted Thorium Helm;22
16744;Enchanted Thorium Leggings;22
16745;Enchanted Thorium Breastplate;22
16759;Plans: Enchanted Thorium Helm;22
16760;Plans: Enchanted Thorium Leggings;22
16761;Plans: Enchanted Thorium Breastplate;22
16782;Lightning Bolt;22
17484;Skullforge Brand;22
17493;Increase Spell Dam 44;22
17830;Increase Arcane Dam 36;22
17997;Increase Nature Dam 40;22
18039;Increase Healing 62;22
18098;Undead Slayer 45;22
21434;Attack Power Ranged 22;22
21436;Attack Power Ranged 26;22
22600;Force Reactive Disk;22
22717;Black War Steed;22
22718;Black War Kodo;22
22719;Black Battlestrider;22
22720;Black War Ram;22
22721;Black War Raptor;22
22722;Red Skeletal Warhorse;22
22723;Black War Tiger;22
22724;Black War Wolf;22
22725;Defense +3;22
22727;Core Armor Kit;22
22728;Pattern: Core Armor Kit;22
22732;Major Rejuvenation Potion;22
22733;Recipe: Major Rejuvenation Potion;22
22749;Enchant Weapon - Spell Power;22
22750;Enchant Weapon - Healing Power;22
22753;Formula: Enchant Weapon - Spell Power;22
22754;Formula: Enchant Weapon - Healing Power;22
22756;Sharpen Weapon - Critical;22
22757;Elemental Sharpening Stone;22
22758;Plans: Elemental Sharpening Stone;22
22759;Flarecore Wraps;22
22760;Pattern: Flarecore Wraps;22
22778;Hamstring Rage Reduction;22
22779;Biznicks 247x128 Accurascope;22
22793;Biznicks 247x128 Accurascope;22
22794;Schematic: Biznicks 247x128 Accurascope;22
22795;Core Marksman Rifle;22
22796;Schematic: Core Marksman Rifle;22
22797;Force Reactive Disk;22
22798;Schematic: Force Reactive Disk;22
22801;Ghost Wolf Speed;22
22891;Undo Crowd Control Rogue;22
22999;Defibrillate;22
23000;Ez-Thro Dynamite;22
23004;Summon Alarm-o-Bot;22
23008;Powerful Seaforium Charge;22
23015;Crystal Prison;22
23034;Battle Standard;22
23035;Battle Standard;22
23037;Mana Shield Absorb Increase;22
23042;Call Benediction;22
23043;Mind Blast Cast Pushback Reduction;22
23046;Searing Pain Cast Pushback Reduction;22
23049;Sprint Duration Increase;22
23054;Igniting Kroshius;22
23058;Fix Ritual Bell (DND);22
23061;Fix Ritual Node;22
23062;Fix Ritual Candle (DND);22
23063;Dense Dynamite;22
23064;Recombobulate;22
23066;Red Firework;22
23067;Blue Firework;22
23068;Green Firework;22
23069;EZ-Thro Dynamite II;22
23070;Dense Dynamite;22
23071;Truesilver Transformer;22
23077;Gyrofreeze Ice Reflector;22
23078;Goblin Jumper Cables XL;22
23079;Major Recombobulator;22
23080;Powerful Seaforium Charge;22
23081;Hyper-Radiant Flame Reflector;22
23082;Ultra-Flash Shadow Reflector;22
23083;Schematic: Red Firework;22
23084;Schematic: Blue Firework;22
23085;Schematic: Green Firework;22
23086;Schematic: EZ-Thro Dynamite II;22
23088;Schematic: Truesilver Transformer;22
23089;Schematic: Gyrofreeze Ice Reflector;22
23090;Schematic: Goblin Jumper Cable XL;22
23091;Schematic: Major Recombobulator;22
23092;Schematic: Powerful Seaforium Charge;22
23093;Schematic: Hyper-Radiant Flame Reflector;22
23094;Schematic: Ultra-Flash Shadow Reflector;22
23095;Dense Dynamite;22
23096;Alarm-O-Bot;22
23097;Fire Reflector;22
23098;Schematic: Alarm-O-Bot;22
23101;Eye of Divinity;22
23126;World Enlarger;22
23129;World Enlarger;22
23130;Schematic: World Enlarger;22
23131;Frost Reflector;22
23132;Shadow Reflector;22
23135;Heavy Leather Ball;22
23136;Release J'eevee;22
23151;Balance of Light and Shadow;22
23152;Summon Xorothian Dreadsteed;22
23157;Arcane Shot Mana Reduction;22
23160;Teach Summon Dreadsteed;22
23161;Summon Dreadsteed;22
23172;Block Value 10;22
23180;Release Imp;22
23181;Block Value 24;22
23190;Heavy Leather Ball;22
23191;Pattern: Heavy Leather Ball;22
23192;Forming Rhok'delar;22
