ObjectList;name;Patch
181519;Plague Fissure;30
181520;Plague Fissure;30
181521;Plague Fissure;30
181522;Plague Fissure;30
181523;Plague Fissure;30
181524;Plague Fissure;30
181525;Plague Fissure;30
181526;Plague Fissure;30
181527;Plague Fissure;30
181528;Plague Fissure;30
181529;Plague Fissure;30
181530;Plague Fissure;30
181531;Plague Fissure;30
181532;Plague Fissure;30
181533;Plague Fissure;30
181534;Plague Fissure;30
181535;Plague Fissure;30
181536;Plague Fissure;30
181537;Plague Fissure;30
181538;Plague Fissure;30
181539;Plague Fissure;30
181540;Plague Fissure;30
181541;Plague Fissure;30
181542;Plague Fissure;30
181543;Plague Fissure;30
181544;Plague Fissure;30
181545;Plague Fissure;30
181546;Plague Fissure;30
181547;Plague Fissure;30
181548;Plague Fissure;30
181549;Plague Fissure;30
181550;Plague Fissure;30
181551;Plague Fissure;30
181552;Plague Fissure;30
181575;Naxxramas Portal;30
181576;Naxxramas Portal;30
181577;Naxxramas Portal;30
181578;Naxxramas Portal;30
181640;Doodad_kelthuzad_throne02;30
181676;Plague Fissure;30
181677;Plague Fissure;30
181678;Plague Fissure;30
181695;Plague Fissure;30
16431;Cracked Necrotic Crystal;29
161513;Farm Chicken Egg;29
180712;Stonescale Eel Swarm;29
181113;Crystal Corpse;29
181136;Circle;29
181154;Necropolis;29
181172;Necropolis City;29
181173;Undead Fire;29
181174;Undead Fire Aura;29
181191;Skullpile 01;29
181192;Skullpile 02;29
181193;Skullpile 03;29
181194;Skullpile 04;29
181214;Necropolis critter spawner;29
181215;Necropolis (scale 2.5);29
181223;Necropolis (scale 3.5);29
181227;Circle;29
181247;Ice Block;29
181254;Argent Dawn Buffer Tent;29
181255;Argent Dawn Buffer Crate;29
181256;Argent Dawn Banner;29
181257;Argent Dawn Banner;29
181373;Necropolis (scale 1.5);29
181374;Necropolis (scale 2.0);29
188067;Ice Block;29
181045;Brazier of Beckoning;28
181046;Mor Grayhoof Brazier Spell Focus;28
181047;Isalien Brazier Spell Focus;28
181048;Jarien and Sothos Brazier Spell Focus;28
181049;Kormok Brazier Spell Focus;28
181050;Lord Valthalak Brazier Spell Focus;28
181051;Brazier of Invocation;28
181052;Brazier of Invocation Spell Focus 10 yd;28
181053;Basket of Bloodkelp;28
181057;Ectoplasmic Distiller;28
181058;Banner of Provocation;28
181059;Blackrock Depths Arena Thelrin Focus;28
181068;Small Obsidian Chunk;28
181069;Large Obsidian Chunk;28
181071;Ysida's Cage;28
181072;Ysida's Cagebase;28
181074;Arena Spoils;28
181083;Sothos and Jarien's Heirlooms;28
181085;Stratholme Supply Crate;28
181094;Brazier of Invocation Spell Focus 40 yd;28
181096;Brazier of Invocation Spell Focus 20 yd;28
181098;Volcanic Ash;28
180598;AQWar - Resource, Bandages, Alliance, Initial;27
180604;Merithra's Wake;27
180619;Ossirian Crystal;27
180620;Music Box Silithus;27
180633;Crystalline Tear;27
180634;Door;27
180635;Door;27
180636;Door;27
180642;Inconspicuous Crate;27
180647;Sand Trap;27
180651;Shovel;27
180652;Freshly Dug Dirt;27
180653;Treasure Marker;27
180656;Sagefish School;27
180659;Drop-Off Point;27
180660;Sack of Gold;27
180663;Sagefish School;27
180665;Draconic for Dummies;27
180666;Draconic for Dummies;27
180667;Draconic for Dummies;27
180669;Swirling Maelstrom;27
180671;Xandivious' Demon Bag;27
180674;AQWar - Resource, Bandages, Alliance, Tier 1;27
180675;AQWar - Resource, Bandages, Alliance, Tier 2;27
180676;AQWar - Resource, Bandages, Alliance, Tier 3;27
180677;AQWar - Resource, Bandages, Alliance, Tier 4;27
180678;AQWar - Resource, Bandages, Alliance, Tier 5;27
180679;AQWar - Resource, Cooking/Herbs, Alliance Initial;27
180680;AQWar - Resource, Bars, Alliance, Initial;27
180681;AQWar - Resource, Skins, Alliance, Initial;27
180684;Greater Sagefish School;27
180690;Large Scarab Coffer;27
180691;Scarab Coffer;27
180692;AQWar - Resource, Skins, Alliance, Tier 1;27
180693;AQWar - Resource, Skins, Alliance, Tier 2;27
180694;AQWar - Resource, Skins, Alliance, Tier 3;27
180695;AQWar - Resource, Skins, Alliance, Tier 4;27
180696;AQWar - Resource, Skins, Alliance, Tier 5;27
180717;The Scarab Gong;27
180718;The Scarab Gong;27
180745;Grasp of C'Thun;27
180753;Patch of Elemental Water;27
180780;AQWar - Resource, Bars, Alliance, Tier 1;27
180781;AQWar - Resource, Bars, Alliance, Tier 2;27
180782;AQWar - Resource, Bars, Alliance, Tier 3;27
180783;AQWar - Resource, Bars, Alliance, Tier 4;27
180784;AQWar - Resource, Bars, Alliance, Tier 5;27
180788;AQDOORSOUND;27
180794;Journal of Jandice Barov;27
180795;Sandworm Base;27
180800;AQWar - Resource, Cooking, Alliance, Tier 1;27
180801;AQWar - Resource, Herbs, Alliance, Tier 1;27
180802;AQWar - Resource, Herbs, Alliance, Tier 2;27
180803;AQWar - Resource, Herbs, Alliance, Tier 3;27
180804;AQWar - Resource, Herbs, Alliance, Tier 4;27
180805;AQWar - Resource, Herbs, Alliance, Tier 5;27
180806;AQWar - Resource, Cooking, Alliance, Tier 2;27
180807;AQWar - Resource, Cooking, Alliance, Tier 3;27
180808;AQWar - Resource, Cooking, Alliance, Tier 4;27
180809;AQWar - Resource, Cooking, Alliance, Tier 5;27
180810;Resonating Crystal Formation;27
180811;Resonating Crystal Formation Glow;27
180812;AQWar - Resource, Skins, Horde, Initial;27
180813;AQWar - Resource, Skins, Horde, Tier 1;27
180814;AQWar - Resource, Skins, Horde, Tier 2;27
180815;AQWar - Resource, Skins, Horde, Tier 3;27
180816;AQWar - Resource, Skins, Horde, Tier 4;27
180817;AQWar - Resource, Skins, Horde, Tier 5;27
180818;AQWar - Resource, Herbs, Horde, Initial;27
180819;AQWar - Resource, Herbs, Horde, Tier 1;27
180820;AQWar - Resource, Herbs, Horde, Tier 2;27
180821;AQWar - Resource, Herbs, Horde, Tier 3;27
180822;AQWar - Resource, Herbs, Horde, Tier 4;27
180823;AQWar - Resource, Herbs, Horde, Tier 5;27
180826;AQWar - Resource, Bandages, Horde, Initial;27
180827;AQWar - Resource, Bandages, Horde, Tier 1;27
180828;AQWar - Resource, Bandages, Horde, Tier 2;27
180829;AQWar - Resource, Bandages, Horde, Tier 3;27
180830;AQWar - Resource, Bandages, Horde, Tier 4;27
180831;AQWar - Resource, Bandages, Horde, Tier 5;27
180832;AQWar - Resource, Cooking, Horde, Initial;27
180833;AQWar - Resource, Cooking, Horde, Tier 1;27
180834;AQWar - Resource, Cooking, Horde, Tier 2;27
180835;AQWar - Resource, Cooking, Horde, Tier 3;27
180836;AQWar - Resource, Cooking, Horde, Tier 4;27
180837;AQWar - Resource, Cooking, Horde, Tier 5;27
180838;AQWar - Resource, Bars, Horde, Initial;27
180839;AQWar - Resource, Bars, Horde, Tier 1;27
180840;AQWar - Resource, Bars, Horde, Tier 2;27
180841;AQWar - Resource, Bars, Horde, Tier 3;27
180842;AQWar - Resource, Bars, Horde, Tier 4;27
180843;AQWar - Resource, Bars, Horde, Tier 5;27
180866;Event Generator Saurfang Pre-War;27
210312;Ahn'Qiraj Ossirian Crystal;27
210313;Ahn'Qiraj Ossirian Crystal;27
210339;Ahn'Qiraj Sand Trap;27
210344;Silithus Crystal Formation 03;27
210345;Floating Red Crystal Broken 03;27
210346;Floating Red Crystal Broken 01;27
210347;Ahn'Qiraj Door 01;27
210349;Gastric Exit;27
74731;Noggle's Satchel;26
180435;Noggle's Satchel;26
180436;Twilight Tablet Fragment;26
180448;Wanted Poster: Deathclasp;26
180453;Hive'Regal Glyphed Crystal;26
180454;Hive'Ashi Glyphed Crystal;26
180455;Hive'Zora Glyphed Crystal;26
180456;Lesser Wind Stone;26
180461;Wind Stone;26
180466;Greater Wind Stone;26
180501;Twilight Tablet Fragment;26
180502;Wind Stone;26
180503;Sandy Cookbook;26
180514;Glyphed Crystal Prism;26
180517;Putrid Mushroom;26
180518;Lesser Wind Stone;26
180529;Lesser Wind Stone;26
180534;Wind Stone;26
180539;Greater Wind Stone;26
180544;Lesser Wind Stone;26
180549;Lesser Wind Stone;26
180554;Wind Stone;26
180559;Greater Wind Stone;26
180564;Lesser Wind Stone;26
180583;Twilight Tablet Fragment;26
180601;Unstable Rift Crystal;26
210327;Communication Crystal;26
210328;Communication Crystal;26
210329;Communication Crystal;26
210330;Communication Crystal;26
210331;Communication Crystal;26
210332;Communication Crystal;26
210335;Twilight Tablet;26
210336;Twilight Tablet;26
210337;Glyphed Crystal;26
210342;Glyphed Crystal;26
15001;Mine Banner;25
15002;Lumber Mill Banner;25
15003;Farm Banner;25
15004;Blacksmith Banner;25
15005;Stable Banner;25
176604;Bonfire;25
176605;Brazier;25
176606;Brazier;25
176607;Brazier;25
176608;Brazier;25
176609;Brazier;25
176610;Brazier;25
176611;Brazier;25
176612;Brazier;25
176617;Bonfire;25
176618;Bonfire;25
176619;Bonfire;25
179704;Cauldron;25
179985;Spider Egg;25
180058;Alliance Banner;25
180059;Contested Banner;25
180060;Horde Banner;25
180061;Contested Banner;25
180087;Stable Banner;25
180088;Blacksmith Banner;25
180089;Farm Banner;25
180090;Lumber Mill Banner;25
180091;Mine Banner;25
180104;Zandalar Cage;25
180105;Circle of Binding;25
180164;Sungrass;25
180165;Purple Lotus;25
180166;Mountain Silversage;25
180167;Golden Sansam;25
180168;Dreamfoil;25
180215;Hakkari Thorium Vein;25
180218;Arathi Basin Pumpkin;25
180219;Arathi Basin Pumpkin Patch;25
180220;Arathi Basin Bone01;25
180222;Arathi Basin Bone02;25
180223;Arathi Basin BlastedLandsSkull01;25
180224;Arathi Basin BlastedLandsBonePile02;25
180225;Arathi Basin BlastedLandsBonePile03;25
180226;Arathi Basin Doomweed01;25
180227;Arathi Basin Gloomweed01;25
180228;Jinxed Hoodoo Pile;25
180229;Jinxed Hoodoo Pile;25
180244;Jinxed Hoodoo Pile;25
180247;Jinxed Hoodoo Pile;25
180248;School of Tastyfish;25
180249;Heart of Hakkar Air Rift;25
180250;Heart of Hakkar Fire Rift;25
180252;Troll Hero Lightning;25
180253;Troll Hero Air Portal;25
180254;Troll Hero Fire Portal;25
180255;ALLIANCE DOOR;25
180256;HORDE DOOR;25
180327;Brazier of Madness;25
180346;Mudskunk Lure;25
180358;Gri'lek, with the Iron Blood;25
180364;Hazza'rah, the Dreamweaver;25
180365;Renataki, of the Thousand Blades;25
180366;Battered Tackle Box;25
180367;Altar of Zanza;25
180368;Tablet of Madness;25
180369;Muddy Churning Waters;25
180375;Altar of Zanza Spell Focus;25
180385;Troll Hero Portal Sound;25
180386;Gong;25
180391;Heart of Hakkar Spell Emitter;25
180392;Full Jug;25
180393;Wushoolay, the Storm Witch;25
180394;PVP HOLIDAY HORDE CTF;25
180395;PVP HOLIDAY HORDE AV;25
180396;PVP HOLIDAY HORDE ARATHI;25
180397;PVP HOLIDAY GENERIC SIGNPOST;25
180398;PVP HOLIDAY ALLIANCE ARATHI;25
180399;PVP HOLIDAY ALLIANCE AV;25
180400;PVP HOLIDAY ALLIANCE CTF;25
180401;Heart of Hakkar Portal Sound;25
180402;Heart of Hakkar Object;25
180403;Soapbox;25
180404;Servant of the Hand Summoning Circle;25
180430;Brazier of Madness - Inert;25
180497;Forcefield;25
180526;Gong of Bethekk;25
19023;House 2;24
153723;Bonfire;24
176964;Portcullis;24
176965;Portcullis;24
176966;Portcullis;24
177164;Portcullis;24
177165;Portcullis;24
177807;Black Dragon Egg;24
177808;Orb of Domination;24
177824;Altar;24
178666;Gypsy Wagon;24
179104;Chair;24
179105;Chair;24
179106;Bench;24
179107;Bench;24
179108;Bench;24
179109;Chair;24
179110;Chair;24
179111;Chair;24
179112;Chair;24
179113;Chair;24
179114;Bench;24
179115;Portcullis;24
179116;Portcullis;24
179117;Portcullis;24
179118;Throne;24
179119;Fire;24
179120;Fire;24
179121;Fire;24
179122;Fire;24
179148;Lever;24
179364;Portcullis;24
179365;Portcullis;24
179784;Suppression Device;24
179804;Drakonid Bones;24
179879;Orb of Command;24
179880;Drakkisath's Brand;24
179881;The Severed Head of Nefarian;24
179882;The Severed Head of Nefarian;24
179964;DARKMOON FAIRE - Coming Soon!;24
179965;Darkmoon Faire Banner;24
179967;Barrel 01;24
179968;Haystack 01;24
179969;Replace Crate 01;24
179970;Replace Crate 02;24
179972;Stormwind Crate 01;24
179973;Inn Barrel;24
179975;Water Trough Small;24
179976;Beer Keg 01;24
179977;General Lantern 01;24
180005;Darkmoon Faire Wagon Loaded;24
180006;Outhouse;24
180007;Excavation Stake;24
180024;Mysterious Deadmines Chest;24
180025;Mysterious Eastvale Haystack;24
180026;Darkmoon Faire Signpost;24
180029;DARKMOON FAIRE;24
180030;Fortune Teller's Tent;24
180031;Food Tent;24
180032;Souvenir Tent;24
180034;Ticket Master Tent;24
180035;Fence;24
180036;Darkmoon Faire Wagon Unloaded;24
180037;Haybail 01;24
180038;Haybail 02;24
180039;Animal Trainer Tent;24
180040;G_Cage 02;24
180041;G_Cage 03;24
180042;Target Practice Tent;24
180043;Free Standing Torch 01;24
180044;Shoutbox;24
180045;Stormwind Gypsy Wagon;24
180046;Chair;24
180047;Westfall Chair;24
180048;Mug Foam 01;24
180049;Mug 01;24
180050;Bread French Half;24
180051;Bread French 01;24
180052;Deadmine Cargo Boxes;24
180053;Brazier;24
180055;Mysterious Wailing Caverns Chest;24
180056;Mysterious Tree Stump;24
180335;Darkmoon Faire Music Doodad;24
180452;Blastenheimer 5000 Ultra Cannon;24
180515;Blastenheimer 5000 Ultra Cannon;24
180524;Tonk Control Console;24
180573;Cannon Target;24
180631;Alchemy Lab;24
180632;Alchemy Lab;24
181029;Burning Coals;24
183401;Portcullis;24
183402;Portcullis;24
186252;Fence;24
200000;Fel Orc Encampment Custom Area;24
211051;Mysterious Tree Stump;24
211062;Elwynn Fence;24
211063;Elwynn Fence;24
1726;Missing: Corporal Keeshan;23
13756;Graveyard Banner;23
177261;Brazier;23
177262;Campfire;23
177263;Campfire;23
177292;Brazier;23
177293;Brazier;23
177405;Brazier;23
177406;Brazier;23
177408;Bonfire;23
177409;Brazier;23
177410;Brazier;23
177411;Brazier;23
177412;Brazier;23
177413;Brazier;23
177604;Pile of Bones;23
178364;Horde Banner;23
178365;Alliance Banner;23
178388;Horde Banner;23
178389;Alliance Banner;23
178393;Horde Banner;23
178394;Alliance Banner;23
178439;Globe of Scrying;23
178545;Guse's Beacon;23
178546;Guse's Beacon Spell Focus;23
178548;Jeztor's Beacon Spell Focus;23
178550;Mulverick's Beacon Spell Focus;23
178584;Ryson's All Seeing Eye;23
178604;Globe of Scrying;23
178605;Ryson's Beacon;23
178606;Ryson's Beacon Spell Focus;23
178608;Ryson's Beacon Spell Focus;23
178644;Ryson's All Seeing Eye Trap;23
178646;Alliance Supply Crate;23
178664;Steamsaw;23
178665;Steamsaw;23
178724;Vipore's Beacon;23
178727;Vipore's Beacon Spell Focus;23
178728;Slidore's Beacon Spell Focus;23
178729;Ichman's Beacon Spell Focus;23
178784;Coldtooth Supplies;23
178785;Irondeep Supplies;23
178925;Alliance Banner;23
178927;[PH] Alliance A1 Tower Banner BIG;23
178929;Alliance Banner;23
178932;[PH] Alliance A2 Tower Banner BIG;23
178935;Alliance Banner;23
178936;Alliance Banner;23
178940;Contested Banner;23
178943;Horde Banner;23
178944;Horde Banner;23
178945;Horde Banner;23
178946;Horde Banner;23
178947;[PH] Alliance A3 Tower Banner BIG;23
178948;[PH] Alliance A4 Tower Banner BIG;23
178955;[PH] Horde H1 Tower Banner BIG;23
178956;[PH] Horde H2 Tower Banner BIG;23
178957;[PH] Horde H3 Tower Banner BIG;23
178958;[PH] Horde H4 Tower Banner BIG;23
179024;Stormpike Banner;23
179025;Frostwolf Banner;23
179044;[PH] Alliance Graveyard Mid Banner BIG;23
179064;[PH] Horde Graveyard Mid Banner BIG;23
179065;Roaring Flame;23
179066;Smoke Emitter, Large AOI, scale 2;23
179284;Alliance Banner;23
179285;Horde Banner;23
179286;Contested Banner;23
179287;Contested Banner;23
179304;Contested Banner;23
179305;Contested Banner;23
179306;Contested Banner;23
179307;Contested Banner;23
179308;Contested Banner;23
179310;Contested Banner;23
179324;Frostwolf Landmine;23
179325;Stormpike Landmine;23
179384;Chair;23
179385;Chair;23
179386;Chair;23
179387;Chair;23
179388;Chair;23
179389;Chair;23
179390;Chair;23
179419;Brazier;23
179424;[PH] Alliance Graveyard Mid Pre-Banner BIG;23
179425;[PH] Horde Graveyard Mid Pre-Banner BIG;23
179435;Contested Banner;23
179436;[PH] Horde A1 Tower Pre-Banner BIG;23
179437;Wanted: ORCS!;23
179438;Wanted: DWARVES!;23
179439;Contested Banner;23
179440;[PH] Horde A2 Tower Pre-Banner BIG;23
179441;Contested Banner;23
179442;[PH] Horde A3 Tower Pre-Banner BIG;23
179443;Contested Banner;23
179444;[PH] Horde A4 Tower Pre-Banner BIG;23
179445;Contested Banner;23
179446;[PH] Alliance H1 Tower Pre-Banner BIG;23
179449;Contested Banner;23
179450;[PH] Alliance H2 Tower Pre-Banner BIG;23
179453;Contested Banner;23
179454;[PH] Alliance H3 Tower Pre-Banner BIG;23
179458;[PH] Alliance H4 Tower Pre-Banner BIG;23
179465;Alliance Banner;23
179466;Contested Banner;23
179467;Horde Banner;23
179468;Contested Banner;23
179470;Alliance Banner;23
179471;Contested Banner;23
179472;Horde Banner;23
179473;Contested Banner;23
179481;Alliance Banner;23
179482;Contested Banner;23
179483;Horde Banner;23
179484;Contested Banner;23
179785;Silverwing Flag;23
179786;Warsong Flag;23
179826;Secret Plans: Fiery Flux;23
179827;Wanted/Missing/Lost & Found;23
179828;Dark Iron Pillow;23
179830;Silverwing Flag;23
179831;Warsong Flag;23
179832;Pillaclencher's Ornate Pillow;23
179871;Speed Buff;23
179899;Speed Buff;23
179900;Big Bonfire Damage;23
179904;Food Buff;23
179905;Berserk Buff;23
179906;Food Buff;23
179907;Berserk Buff;23
179908;Slagtree's Lost Tools;23
179909;Rock of Durotan;23
179910;Lard's Picnic Basket;23
179911;Message to the Wildhammer;23
179913;Call to Arms!;23
179914;Pile of Bones;23
179915;Pile of Skulls;23
179916;Doodad_RazorfenDoor01;23
179917;Doodad_RazorfenDoor02;23
179920;Doodad_PortcullisActive03;23
179921;Doodad_PortcullisActive04;23
179922;Vessel of Tainted Blood;23
180064;Alliance Banner;23
180065;Contested Banner;23
180066;Horde Banner;23
180067;Contested Banner;23
180068;Alliance Banner;23
180069;Contested Banner;23
180070;Horde Banner;23
180071;Contested Banner;23
180072;Alliance Banner;23
180073;Contested Banner;23
180074;Horde Banner;23
180075;Contested Banner;23
180076;Alliance Banner;23
180077;Contested Banner;23
180078;Horde Banner;23
180079;Contested Banner;23
180085;Contested Banner;23
180086;Contested Banner;23
180092;Contested Banner;23
180093;Contested Banner;23
180094;Contested Banner;23
180095;Contested Banner;23
180096;Contested Banner;23
180097;Contested Banner;23
180098;Contested Banner;23
180099;Contested Banner;23
180101;Horde Banner Aura;23
180102;Neutral Banner Aura;23
180144;Food Buff;23
180145;Food Buff;23
180146;Speed Buff;23
180147;Speed Buff;23
180148;Berserk Buff;23
180362;Food Buff;23
180376;Berserk Buff;23
180377;Food Buff;23
180378;Berserk Buff;23
180379;Speed Buff;23
180380;Berserk Buff;23
180381;Speed Buff;23
180382;Berserk Buff;23
180383;Food Buff;23
180384;Speed Buff;23
180418;Snowfall Banner;23
180419;Contested Banner;23
180420;Contested Banner;23
180421;Alliance Banner Aura, Large;23
180422;Horde Banner Aura, Large;23
180423;Neutral Banner Aura, Large;23
180424;Alterac Valley Gate;23
180654;Hardpacked Snowdrift;23
182592;Roaring Flame;23
184964;Speed Buff;23
184966;Berserk Buff;23
184970;Speed Buff;23
184972;Berserk Buff;23
184973;Speed Buff;23
184975;Berserk Buff;23
184976;Speed Buff;23
184978;Berserk Buff;23
176371;Wooden Chair;22
176372;Wooden Chair;22
176373;Wooden Chair;22
176374;Wooden Chair;22
176375;Wooden Chair;22
176376;Wooden Chair;22
176377;Wooden Chair;22
176378;Wooden Chair;22
176379;Wooden Chair;22
176380;Wooden Chair;22
176381;Wooden Chair;22
176382;Wooden Chair;22
176383;Wooden Chair;22
176384;Wooden Chair;22
176385;Wooden Chair;22
176386;Wooden Chair;22
176387;Wooden Chair;22
176388;Wooden Chair;22
176566;Officer's Door;22
176567;Mighty Blaze;22
176568;Mighty Blaze;22
176569;Mighty Blaze;22
176570;Mighty Blaze;22
176571;Mighty Blaze;22
176572;Mighty Blaze;22
176575;Officer's Door;22
179644;Imprisoned Doomguard;22
179664;Earth Elemental Rift;22
179665;Water Elemental Rift;22
179666;Fire Elemental Rift;22
179667;Air Elemental Rift;22
179668;Warlock Mount Ritual Circle;22
179669;Warlock Mount Quest Symbol 1;22
179670;Warlock Mount Quest Symbol 2;22
179671;Warlock Mount Quest Symbol 3;22
179672;Wheel of the Black March;22
179673;Doomsday Candle;22
179674;Bell of Dethmoora;22
179675;Warlock Mount Quest Portal Spell Focus;22
179676;Fel Fire;22
179677;Kroshius' Remains;22
179681;Dreadsteed Portal;22
179688;Ritual Candle Aura;22
179697;Arena Treasure Chest;22
179701;Circle Loc (spell focus);22
179703;Cache of the Firelord;22
179706;A Treatise on Military Ranks;22
179707;Military Ranks of the Horde & Alliance;22
179708;Divination Scryer;22
179725;Champions' Hall;22
179726;Champions' Hall;22
179727;Champions' Hall;22
179728;Champions' Hall;22
179735;Alliance Military Ranks;22
179736;Champions' Hall;22
179739;Hall of Legends;22
179740;Hall of Legends;22
179741;Horde Military Ranks;22
179742;Hall of Legends;22
183344;Fel Fire;22
185520;Fel Fire;22
176905;Smoldering Brazier;21
176906;Smoldering Brazier;21
176907;Conservatory Door;21
177217;Gordok Inner Door;21
177219;Gordok Courtyard Door;21
177220;Crumble Wall;21
177221;Door;21
177257;Doodad_DireMaulCrystalGenerator02;21
177258;Doodad_DireMaulCrystalGenerator03;21
177259;Doodad_DireMaulCrystalGenerator01;21
178824;Meeting Stone;21
178825;Meeting Stone;21
178826;Meeting Stone;21
178827;Meeting;21
178828;Meeting Stone;21
178829;Meeting Stone;21
178831;Meeting Stone;21
178832;Meeting Stone;21
178833;Meeting Stone;21
178834;Meeting Stone;21
178844;Meeting Stone;21
178845;Meeting Stone;21
178884;Meeting Stone;21
179147;Campfire;21
179485;Broken Trap;21
179499;Ogre Tannin Basket;21
179501;Knot Thimblejack's Cache;21
179502;Doodad_CorruptedCrystalVine01;21
179503;Doodad_DireMaulBossForceField01;21
179504;Doodad_DireMaulCrystalGenerator04;21
179505;Doodad_DireMaulCrystalGenerator05;21
179506;Doodad_DiremaulMagicVortex01;21
179511;Knot's Ball and Chain;21
179512;Fixed Trap;21
179516;Fengus's Chest;21
179517;Treasure of the Shen'dralar;21
179526;Warpwood Pod;21
179528;Warpwood Pod;21
179531;Warpwood Pod - Summon;21
179532;Warpwood Pod;21
179533;Warpwood Pod;21
179544;Skeletal Remains of Kariel Winthalus;21
179545;The Prince's Chest;21
179547;A Dusty Tome;21
179548;A Dusty Tome;21
179549;Door;21
179550;Door;21
179551;Hydraxis' Coffer;21
179552;Schematic: Field Repair Bot 74A;21
179553;Core Fragment;21
179554;Meeting Stone;21
179555;Meeting Stone;21
179556;The Severed Head of Onyxia;21
179558;The Severed Head of Onyxia;21
179559;Felvine Shard;21
179562;Ancient Heated Blade;21
179563;Prince's Chest Aura;21
179564;Gordok Tribute;21
179565;Dusty Reliquary;21
179584;Meeting Stone;21
179585;Meeting Stone;21
179586;Meeting Stone;21
179587;Meeting Stone;21
179595;Meeting Stone;21
179596;Meeting Stone;21
181099;Campfire;21
181346;Flame of Dire Maul;21
185321;Meeting Stone;21
185433;Meeting Stone;21
186251;Meeting Stone;21
2563;Altar of the Tides - Focused;20
2576;Altar of the Tides;20
37099;Atal'ai Tablet;20
113768;Brightly Colored Egg;20
113769;Brightly Colored Egg;20
113770;Brightly Colored Egg;20
113771;Brightly Colored Egg;20
113772;Brightly Colored Egg;20
178425;Christmas Tree (Large);20
178426;XMasTreeLargeHorde01;20
178428;XMasGift01;20
178429;XMasGift02;20
178430;XMasGift03;20
178431;XMasGift04;20
178432;XMasGift05;20
178433;XMasGift06;20
178434;XMasStocking01;20
178435;XMasStocking02;20
178436;XMasStocking03;20
178437;Wreath;20
178438;Lights;20
178551;Lights, Broken;20
178554;Mistletoe;20
178556;Wreath scale 1.20;20
178557;Christmas Tree (Medium);20
178558;Christmas Tree (Large Snowy);20
178559;Larva Spewer;20
178560;Doodad_MaraudonStaffCreator01;20
178561;Spore Tree;20
178562;Spore Tree;20
178563;Spore Tree;20
178564;Spore Tree;20
178565;Spore Tree;20
178566;Spore Tree;20
178567;Spore Tree;20
178568;Spore Tree;20
178569;Spore Tree;20
178570;Corruption Spewer;20
178609;Holiday Snow;20
178645;Lights x3;20
178647;Christmas Tree;20
178649;Wreath scale 0.75;20
178667;Christmas Tree (Medium);20
178668;Christmas Tree (Medium);20
178669;Lights x3;20
178671;Greatfather Winter's Chair;20
