PoolList;description;Patch
8259;Arthas' Tears - Western Plaguelands - subzone 4;14
8260;Sungrass - Western Plaguelands - subzone 4;14
8261;Dreamfoil - Western Plaguelands - subzone 4;14
8389;Golden Sansam - Burning Steppes - subzone 1;14
8390;Mountain Silversage - Burning Steppes - subzone 1;14
8391;Dreamfoil - Burning Steppes - subzone 1;14
8393;Golden Sansam - Burning Steppes - subzone 2;14
8394;Mountain Silversage - Burning Steppes - subzone 2;14
8395;Dreamfoil - Burning Steppes - subzone 2;14
8397;Golden Sansam - Burning Steppes - subzone 3;14
8398;Mountain Silversage - Burning Steppes - subzone 3;14
8399;Dreamfoil - Burning Steppes - subzone 3;14
8408;Golden Sansam - The Hinterlands - subzone 1;14
8415;Golden Sansam - The Hinterlands - subzone 2;14
8508;Dreamfoil - Silithus - subzone 1;14
8514;Dreamfoil - Silithus - subzone 3;14
8517;Dreamfoil - Silithus - subzone 4;14
8520;Dreamfoil - Silithus - subzone 5;14
8524;Dreamfoil - Silithus - subzone 6;14
8529;Golden Sansam - Feralas - subzone 1;14
8534;Golden Sansam - Feralas - subzone 2;14
8539;Golden Sansam - Feralas - subzone 4;14
8544;Golden Sansam - Feralas - subzone 5;14
8550;Golden Sansam - Feralas - subzone 7;14
8557;Golden Sansam - Feralas - subzone 8;14
8563;Golden Sansam - Feralas - subzone 9;14
8573;Golden Sansam - Feralas - subzone 12;14
8576;Golden Sansam - Felwood - subzone 1;14
8577;Dreamfoil - Felwood - subzone 1;14
8583;Golden Sansam - Felwood - subzone 3;14
8584;Dreamfoil - Felwood - subzone 3;14
8585;Mountain Silversage - Felwood - subzone 3;14
8590;Golden Sansam - Felwood - subzone 4;14
8591;Dreamfoil - Felwood - subzone 4;14
8596;Golden Sansam - Felwood - subzone 5;14
8597;Dreamfoil - Felwood - subzone 5;14
8602;Golden Sansam - Felwood - subzone 6;14
8603;Dreamfoil - Felwood - subzone 6;14
8605;Mountain Silversage - Winterspring - subzone 1;14
8606;Icecap - Winterspring - subzone 1;14
8607;Mountain Silversage - Winterspring - subzone 2;14
8608;Icecap - Winterspring - subzone 2;14
8609;Mountain Silversage - Winterspring - subzone 3;14
8610;Icecap - Winterspring - subzone 3;14
8611;Mountain Silversage - Winterspring - subzone 4;14
8612;Icecap - Winterspring - subzone 4;14
8613;Mountain Silversage - Winterspring - subzone 6;14
8614;Icecap - Winterspring - subzone 6;14
8615;Mountain Silversage - Winterspring - subzone 7;14
8616;Icecap - Winterspring - subzone 7;14
8617;Mountain Silversage - Winterspring - subzone 8;14
8618;Icecap - Winterspring - subzone 8;14
8619;Mountain Silversage - Winterspring - subzone 11;14
8620;Icecap - Winterspring - subzone 11;14
8643;Arthas' Tears - Eastern Plaguelands - subzone 1;14
8644;Sungrass - Eastern Plaguelands - subzone 1;14
8645;Golden Sansam - Eastern Plaguelands - subzone 1;14
8646;Dreamfoil - Eastern Plaguelands - subzone 1;14
8647;Mountain Silversage - Eastern Plaguelands - subzone 1;14
8648;Plaguebloom - Eastern Plaguelands;14
8649;Arthas' Tears - Eastern Plaguelands - subzone 2;14
8650;Sungrass - Eastern Plaguelands - subzone 2;14
8651;Golden Sansam - Eastern Plaguelands - subzone 2;14
8652;Dreamfoil - Eastern Plaguelands - subzone 2;14
8653;Mountain Silversage - Eastern Plaguelands - subzone 2;14
8654;Plaguebloom - Eastern Plaguelands;14
8655;Arthas' Tears - Eastern Plaguelands - subzone 3;14
8656;Sungrass - Eastern Plaguelands - subzone 3;14
8657;Golden Sansam - Eastern Plaguelands - subzone 3;14
8658;Dreamfoil - Eastern Plaguelands - subzone 3;14
8659;Mountain Silversage - Eastern Plaguelands - subzone 3;14
8660;Plaguebloom - Eastern Plaguelands;14
8661;Grave Moss - Eastern Plaguelands - subzone 3;14
8662;Arthas' Tears - Eastern Plaguelands - subzone 4;14
8663;Sungrass - Eastern Plaguelands - subzone 4;14
8664;Golden Sansam - Eastern Plaguelands - subzone 4;14
8665;Dreamfoil - Eastern Plaguelands - subzone 4;14
8666;Mountain Silversage - Eastern Plaguelands - subzone 4;14
8667;Plaguebloom - Eastern Plaguelands;14
8821;Golden Sansam - Un'Goro Crater - subzone 1;14
8822;Dreamfoil - Un'Goro Crater - subzone 1;14
8823;Mountain Silversage - Un'Goro Crater - subzone 1;14
8826;Golden Sansam - Un'Goro Crater - subzone 2;14
8827;Dreamfoil - Un'Goro Crater - subzone 2;14
8828;Mountain Silversage - Un'Goro Crater - subzone 2;14
8830;Golden Sansam - Un'Goro Crater - subzone 3;14
8831;Dreamfoil - Un'Goro Crater - subzone 3;14
8832;Mountain Silversage - Un'Goro Crater - subzone 3;14
8835;Golden Sansam - Un'Goro Crater - subzone 4;14
8836;Dreamfoil - Un'Goro Crater - subzone 4;14
8837;Mountain Silversage - Un'Goro Crater - subzone 4;14
15015;Fire Plume Ridge Hot Spot - Pool;14
21425;Western Plaguelands - (153471) - Master Pool;14
31000;Tirisfal Glades (Deathknell) - Chest Pool;14
31001;Tirisfal Glades (Night Web's Hollow) - Chest Pool;14
31116;Eastern Plaguelands (Plaguewood) - Chest Pool;14
31117;Eastern Plaguelands (Crown Guard Tower) - Chest Pool;14
31118;Eastern Plaguelands (Corin's Crossing) - Chest Pool;14
31119;Eastern Plaguelands (Zul'Mashar) - Chest Pool;14
31120;Eastern Plaguelands (The Fungal Vale) - Chest Pool;14
31121;Eastern Plaguelands (The Noxious Glade) - Chest Pool;14
31122;Eastern Plaguelands (Tyr's Hand) - Chest Pool;14
31123;Eastern Plaguelands (Northdale) - Chest Pool;14
31124;Eastern Plaguelands (Darrowshire) - Chest Pool;14
31125;Eastern Plaguelands (The Undercroft) - Chest Pool;14
31126;Eastern Plaguelands (Eastwall Tower) - Chest Pool;14
31144;Winterspring (The Ruins of Kel'Theril) - Chest Pool;14
31145;Winterspring (Timbermaw Post) - Chest Pool;14
31146;Winterspring (Frostfire Hot Springs) - Chest Pool;14
31147;Winterspring (Winterfall Village) - Chest Pool;14
31148;Winterspring - Chest Pool;14
31149;Winterspring (Lake Kel'Theril) - Chest Pool;14
31255;Western Plaguelands (Ruins of Andorhal) - Chest Pool;14
31256;Western Plaguelands (Gahrron's Withering) - Chest Pool;14
31257;Western Plaguelands (Dalson's Tears) - Chest Pool;14
31258;Western Plaguelands - Chest Pool;14
31259;Western Plaguelands (Hearthglen) - Chest Pool;14
31260;Western Plaguelands (Felstone Field) - Chest Pool;14
31261;Western Plaguelands (Northridge Lumber Camp) - Chest Pool;14
31262;Western Plaguelands (The Writhing Haunt) - Chest Pool;14
31264;Tirisfal Glades (The North Coast) - Chest Pool;14
31265;Tirisfal Glades (Garren's Haunt) - Chest Pool;14
31266;Tirisfal Glades (Agamand Mills) - Chest Pool;14
31325;Tirisfal Glades (Crusader's Outpost) - Chest Pool;14
31326;Tirisfal Glades (Balnir Farmstead) - Chest Pool;14
31327;Tirisfal Glades (Whispering Shore) - Chest Pool;14
31335;Tirisfal Glades (Solliden Farmstead) - Chest Pool;14
39934;Western Plaguelands - Master Chest Pool;14
39936;Eastern Plaguelands - Master Chest Pool;14
39937;Winterspring - Master Chest Pool;14
46202;LBRS - Ghok Bashguud (9718);14
46206;LBRS - Spirestone Battle Lord (9218);14
46207;LBRS - Spirestone Lord Magus (9217);14
46208;LBRS - Spirestone Butcher (9219);14
46209;LBRS - Tazz Alaor patrol;14
46210;LBRS - Tazz Alaor patrol;14
46211;LBRS - Bannok Grimaxe;14
46290;LBRS - Master Chest Pool;14
46292;LBRS (Lower Hordemar City) - Chest Pool;14
46293;LBRS (Tazz'Alaor) - Chest Pool;14
46294;LBRS (Skitterweb Tunnels) - Chest Pool;14
46295;LBRS (Upper Hordemar City) - Chest Pool;14
46296;LBRS (The Storehouse) - Chest Pool;14
46353;BRD - Blacksmithing Plans (173234);14
46802;Stratholme - Skul (10393);14
46803;Stratholme - Stonespine (10809);14
46804;Stratholme - Hearthsinger Forresten (10558);14
46814;Stratholme - Scourge Data (176249);14
46815;Stratholme Supply Crate;14
46816;Stratholme Supply Crate;14
46817;Stratholme Supply Crate;14
46818;Stratholme Supply Crate;14
46819;Stratholme Supply Crate;14
46820;Stratholme Supply Crate;14
46821;Stratholme Supply Crate;14
46822;Stratholme Supply Crate;14
46823;Stratholme Supply Crate;14
46824;Stratholme Supply Crate;14
46825;Stratholme Supply Crate;14
46826;Stratholme Supply Crate;14
46827;Stratholme Supply Crate;14
46828;Stratholme Supply Crate;14
46829;Stratholme Supply Crate;14
46830;Stratholme Supply Crate;14
46831;Stratholme Supply Crate;14
46832;Stratholme Supply Crate;14
46833;Stratholme Supply Crate;14
46834;Stratholme Supply Crate;14
46835;Stratholme Supply Crate;14
46836;Stratholme Supply Crate;14
46837;Stratholme Supply Crate;14
46838;Stratholme Supply Crate;14
46839;Stratholme Supply Crate;14
46840;Stratholme Supply Crate;14
46841;Stratholme Supply Crate;14
46842;Stratholme Supply Crate;14
46843;Stratholme Supply Crate;14
46844;Stratholme Supply Crate;14
46845;Stratholme Supply Crate;14
46846;Stratholme Supply Crate;14
46847;Stratholme Supply Crate;14
46848;Stratholme Supply Crate;14
46849;Stratholme Supply Crate;14
46850;Stratholme Supply Crate;14
46851;Stratholme Supply Crate;14
46852;Stratholme Supply Crate;14
46853;Stratholme Supply Crate;14
46854;Stratholme Supply Crate;14
46855;Stratholme Supply Crate;14
46856;Stratholme Supply Crate;14
46857;Stratholme Supply Crate;14
46858;Stratholme Supply Crate;14
46859;Stratholme Supply Crate;14
46860;Stratholme Supply Crate;14
46861;Stratholme Supply Crate;14
46862;Stratholme Supply Crate;14
46863;Stratholme Supply Crate;14
46864;Stratholme Supply Crate;14
46865;Stratholme Supply Crate;14
46866;Stratholme Supply Crate;14
46867;Stratholme Supply Crate;14
46868;Stratholme Supply Crate;14
46869;Stratholme Supply Crate;14
46870;Stratholme Supply Crate;14
46871;Stratholme Supply Crate;14
46872;Stratholme Supply Crate;14
46873;Stratholme Supply Crate;14
46874;Stratholme Supply Crate;14
46890;Stratholme - Master Chest Pool;14
46891;Stratholme (Front Entrance) - Chest Pool;14
46892;Stratholme (Side Entrance) - Chest Pool;14
1000;Stone Fury;13
1022;Rumbler;13
1039;Thauris Balgarr;13
1040;Gruklash;13
1041;Malfunctioning Reaver;13
1042;Hahk'Zor;13
1043;Gorgon'och;13
1044;Deathmaw;13
1045;Terrorspark;13
1046;Volchan;13
1094;Seeker Aqualon;13
1100;Smoldar;13
1103;Scald;13
1116;High Priestess Hai'watna;13
1669;Milly's Harvest;13
1815;Elwynn Forest - Bundle of Wood (176793);13
1846;Tirisfal Glades - Gloom Weed (175566);13
2263;Mineral nodes - Burning Steppes - multinodes subzone 1;13
2264;Mineral nodes - Burning Steppes - multinodes subzone 2;13
2265;Mineral nodes - Burning Steppes - multinodes subzone 3;13
2266;Mineral nodes - Burning Steppes - multinodes subzone 4;13
2267;Mineral nodes - Burning Steppes - multinodes subzone 5;13
2268;Mineral nodes - Burning Steppes - multinodes subzone 6;13
2269;Mineral nodes - Burning Steppes - multinodes subzone 7;13
2270;Mineral nodes - Burning Steppes - multinodes subzone 8;13
2271;Mineral nodes - Burning Steppes - multinodes subzone 9;13
2272;Mineral nodes - Burning Steppes - multinodes subzone 10;13
2273;Mineral nodes - Burning Steppes - multinodes subzone 11;13
2274;Mineral nodes - Burning Steppes - multinodes subzone 12;13
2275;Mineral nodes - Burning Steppes - multinodes subzone 13;13
2276;Mineral nodes - Burning Steppes - multinodes subzone 14;13
2277;Mineral nodes - Burning Steppes - multinodes subzone 15;13
2278;Mineral nodes - Burning Steppes - multinodes subzone 16;13
2279;Mineral nodes - Burning Steppes - multinodes subzone 17;13
2280;Mineral nodes - Burning Steppes - multinodes subzone 19;13
2281;Mineral nodes - Burning Steppes - multinodes subzone 20;13
2282;Mineral nodes - Burning Steppes - multinodes subzone 21;13
2311;Mineral nodes - Searing Gorge - multinodes subzone 10;13
2312;Mineral nodes - Searing Gorge - multinodes subzone 11;13
5545;Mithril Deposit - Searing Gorge - multinodes subzone 5;13
5546;Mithril Deposit - Searing Gorge - multinodes subzone 5;13
5547;Mithril Deposit - Searing Gorge - multinodes subzone 5;13
5548;Mithril Deposit - Searing Gorge - multinodes subzone 5;13
5549;Mithril Deposit - Searing Gorge - multinodes subzone 5;13
