GossipList;;Patch
7270;The blade and Mograine were a singular entity. Do you understand? This act corrupted the blade and lead to Mograine's own corruption as a death knight of Kel'Thuzad. I swore that if I lived, I would expose the perpetrators of this heinous crime. For two days I remained under the rot and contagion of Scourge - gathering as much strength as possible to escape the razed city.;30
7271;"The boy had picked up the Ashbringer and driven it through his father's heart as his back was turned. His last words will haunt me forever: ""What have you done, Renault? Why would you do this?""";30
7272;"It was all I could do to feign death as the corpses of the Scourge piled upon me. There was darkness and only the muffled sounds of the battle above me. The clashing of iron, the gnashing and grinding... gruesome, terrible sounds. And then there was silence. He called to me! ""Fairbanks! Fairbanks where are you? Talk to me Fairbanks!"" And then came the sound of incredulousness. The bite of betrayal, $r...";30
7273;"<High Inquisitor Fairbanks shakes his head.>$B$BNo... He stood in the background, watching as the legion of undead descended upon us. Soon after, my powers were exhausted. I was the first to fall... Surely they would tear me limb from limb as I lay there unconscious; but they ignored me completely, focusing all of their attention on the Highlord. ";30
7274;"It was not enough.$B$B<Fairbanks smirks briefly, lost in a memory.>$B$BA thousand came and a thousand died. By the Light! By the might of Mograine! He would smite them down as fast as they could come. Through the chaos, I noticed that the lesser Mograine was still there, off in the distance. I called to him, ""Help us, Renault! Help your father, boy!""";30
7275;This was the Ashbringer, fool! As the Scourge began to materialize around us, Mograine's blade began to glow... to hum... the younger Mograine would take that as a sign to make his escape. They descended upon us with a hunger the likes of which I had never seen. Yet...;30
7276;<High Inquisitor Fairbanks lifts up his tabard revealing several gruesome scars.>$B$BBecause I was there... I was the Highlord's most trusted advisor. I should have known... I felt that something was amiss yet I allowed it to happen. Would you believe that there were a thousand or more Scourge?;30
7277;<High Inquisitor Fairbanks nods.>$B$BAye, the lesser Mograine, the one known as the Scarlet Commander, through - what I suspect - the dealings of the Grand Crusader. He led his father to the ambush like a lamb to the slaughter.;30
7278;The only way a hero can die, $r: Through tragedy. The Grand Crusader struck a deal with Kel'Thuzad himself! An ambush would be staged that would result in the death of Mograine. The type of betrayal that could only be a result of the actions of one's most trusted and loved companions.;30
7279;The Highlord was the lynchpin of the Crusade. Aye, Mograine was called the Ashbringer because of his exploits versus the armies of the Lich King. With only blade and faith, Mograine would walk into whole battalions of undead and emerge unscathed - the ashes of his foes being the only indication that he had been there at all. Do you not understand? The very face of death feared him! It trembled in his presence!;30
7280;It was High General Abbendis, High Inquisitor Isillien, and Highlord Mograine that formed the Crusade. In its infancy, the Crusade was a noble order. The madness and insane zealotry that you see now did not exist. It was not until the one known as the Grand Crusader appeared that the wheels of corruption were set in motion.;30
7281;"Aye, the Highlord Mograine: A founder of the original order of the Scarlet Crusade. A knight of unwavering faith and purity; Mograine would be betrayed by his own son and slain by Kel'Thuzad's forces inside Stratholme. It is how I ended up here?";30
7282;"You mean, you don't know? The sword that you carry on your back - it is known as Ashbringer; named after its original owner.";30
7283;At last, the curse is lifted. Thank you, hero.;30
7336;"Greetings, $N. I am Johnny McWeaksauce. I am used as a tool by developers to carry out specific functions for the purpose of testing. For this test period, I am set to do two specific things:$B$B(1) Flag you as having done the Naxxramas attunement quest so that you are able to accept the next quest, ""Echoes of War"" from Commander Eligor Dawnbringer. You must first complete that quest to be able to access the quests for your Tier 3 armor set.$B$B(2) Teleport you to Naxxramas.$B$BWhat is it that you require?

Greetings, $N. I see that you are already flagged as having completed the quest to gain entry to Naxxramas. Be sure to speak with Commander Eligor Dawnbringer at Light's Hope Chapel in the Eastern Plaguelands to acquire the quest, ""Echoes of War."" You must first complete that quest to be able to access the quests for your Tier 3 armor set.$B$BI am able to teleport you directly to Naxxramas or you may use the portal found in Plaguewood, to the west.";30
24400;<Omarion grumbles something under his breath.>$B$BBut of course I can help you, dear $N. It is my dying wish... my final desire. Please, take this handbook. The information on its pages are a compilation of all that I know and have learned in the past 30 some-odd years of my miserable life. Give the handbook to that good for nothing apprentice of mine that's probably sitting on his fat duff at Light's Hope Chapel.;30
24401;A tailor, eh? Very well. What would you like to learn about, tailor?$B$B;30
24402;A blacksmith, eh? Very well. What would you like to learn about, blacksmith?$B$B;30
24403;A leatherworker, eh? Very well. What would you like to learn about, leatherworker?$B$B;30
24404;Is this the best they could do?$B$B<Omarion musters the strength to laugh.>$B$BYou do not possess the resolve to face a monster like Kel'Thuzad. You will crumble before his minions - just like those that have come before you...$B$BLeave me here to die. I refuse to return to a world that champions the likes of you.;30
7096;It is said that Kel'Thuzad seeks the legendary Atiesh, greatstaff of the Guardian.$B$BYes, the very staff once held by Medivh.;29
7097;Watch your step, $r. We of the Brotherhood of the Light are not as lenient as our brethren when it comes to meting justice to those that would do this world wrong.$B$BWoe unto those that would anger Korfax.$B$BNow if you have no business with me or the other members of the Brotherhood, please leave so that we may continue our meeting. ;29
7098;The Lich King is attempting to make his presence known in our world. This must not be allowed to occur.;29
7099;What is the Brotherhood of the Light? Well... We are all members of the Argent Dawn at the core - members of the Argent Dawn that aren't held in check by morals, guilt and useless human emotion. Consider us Scarlet Crusade minus the stupidity, lack of leadership, and blind zealotry.$B$BDon't let the Scarlet Commander tell you otherwise.$B$BAnd don't let Tyrosus know I said that... It would be a terrible shame if I had to brutally maim him should a brawl break out.;29
7100;The Argent Dawn might be impotent idealists but their delusional leader knows that they are outmatched. I have been sent here as an emissary of the Scarlet Crusade. An ambassador, if you will... It is doubtful that we could even dent the armies of Kel'Thuzad - united or not - but we might be able to contain them long enough for some sort of miracle to happen.$B$BAs for me? I'll die in battle...$B$B<Marjhan shrugs.>;29
7101;The title is misleading. I'm really a very nice person once you get to know me.;29
7102;They almost sent my brother, Loksey, to this gathering. He cannot even take care of his hounds, let alone represent the Scarlet Crusade in a competent manner.;29
7103;I've been expec...$B$B<Rimblat coughs.>$B$BExcuse me, old habit. I am Rimblat of the Earthen Ring. ;29
7104;Hello, $c. Please excuse me as I am having a conversation with Rimblat. He believes that even this land is not beyond saving.;29
7105;What is it that you want, lemming? Get out of my sight before you find out why I am known as the Wrathcaster.;29
7106;The first suit of Dreadnaught armor was made exclusively for the Scarlet Highlord Mograine.  Whilst donning the full suit, the Highlord looked himself to be a demon from the depths of the Nether.$B$BAye, 'twas quite a sight to behold as Mograine would wade into a hundred Scourge, Ashbringer held high, and come out on the other side in a cloud of dust and flames - enemies left in ashes beneath his feet.;29
7107;It was not until after his controversial death that the knights and warriors of Lordaeron would wear similarly fashioned suits in honor of their fallen hero. While the death of Mograine was a great victory for Kel'Thuzad, the resulting martyrdom would be felt until the end of the war.$B$BWhere one did fall, many would rise...;29
7108;During your battles with the Scourge in Naxxramas, should you come across desecrated battlements and wartorn plate scraps, return them to me and I shall craft for you a piece of this armor worn by heroes.;29
7110;The preternatural ability of the crypt fiend to hunt and kill its foe is one studied and vaunted by men in my profession. I, myself, have slain thousands of the beasts in my crusade to rid this world of Scourge.$B$BWhile I loathe the crypt fiend for its merciless nature, its abilities must be admired. It has a job and it does it - very well.;29
7111;I have discovered a use for the carapace of the crypt fiend and its various body parts. I am able to fashion an extremely light and very deadly set of armor by combining the fragments with some of the desecrated magical armors lost in Naxxramas.;29
7118;Ah, as the title states I am an assassin for the Scarlet Crusade. I spend my days exterminating high priority targets and nights at the Gadgetzan discotheque. Dancing is my true calling. Assassination just pays the bills.;29
7119;Good question, $r. In my younger days I was footloose and fancy free without a care in the world. In those days I would sing in a barber shop quartet out of Stormwind known as the Four Dons. That's where I learned how to craft the Bonescythe digs.;29
7120;Yes, Bonescythe. You see, it was our tenor, an ornery fellow known as Don Julio, who got me started on the whole thing. In his travels throughout Lordaeron, Don Julio picked up many interesting skills, one of them being the ability to take the bones of fallen Scourge and fashion them into a lethal set of leather armor - perfectly suited for an assassin.;29
7121;"I'm as sane as the next guy, $g fella:lady;. Believe what you will, but I AM capable of fashioning this armor. If you're interested, maybe we can make a deal. The sooner I can get out of the assassination business, the better.";29
7122;Members only, scrub!;29
7123;We are all drawn here for different reasons, $c.$B$B<Rayne smiles.>$B$BI am here to meet with Rimblat of the Earthen Ring. He has some interesting theories on cleansing these lands.;29
7124;I think not. Rimblat has already proven that new life can grow from the sundered earth. Now we must find a way to reproduce and, more importantly, sustain the growth.$B$BWhile I am here, I am also offering my services to adventurers entering Naxxramas.;29
7125;I am a crafter of some renown, $c. With the proper materials, I am able to craft an armor known as Dreamwalker. Druids - and even some shaman - are drawn to this armor due to its magical properties. Are you interested?;29
7131;"After the fall of Karazhan, the Kirin Tor dispatched an assembly of mages to search the tower and seize all items of import... for the purposes of ""research."" It was then that the fabled staff was discovered and brought back to Dalaran.";29
7132;The corruption of a fallen titan. The corruption of the Destroyer. After all, the staff was forged from the seed of hate. That is, of course, what has brought me here?;29
7133;It is a story of legend and one that I do not have the time nor the inclination to retell. Just know that Medivh was the last of the Guardians. The greatstaff of Atiesh was a focal point of his power and a focal point of corruption.;29
7134;Progeny of Aegwynn, he that would be the last Guardian of Tirisfal... Medivh.;29
7135;Like Kel'Thuzad, I too was once a mage of the Kirin Tor. And like Kel'Thuzad, I seek the legendary Atiesh, greatstaff of the Guardian. Our fates are intertwined as such, $c.;29
7144;Those filthy beasts are all over the place.$B$BIf you prefer hunting outdoors, you'll find most of them around Plaguewood and Terrordale, with a good concentration of them in the Terrorweb tunnel. They are also likely to appear at almost any Scourge encampment in the Eastern Plaguelands.$B$BIf you're a hearty dungeon crawler, you'll find a good lot of them in Stratholme and a few of the necrofiend variety in Scholomance.;29
7145;Are you daft? Did you miss the BONY SKELETAL CREATURES littering the landscape on your way over here?$B$B<Rohan sighs.>$B$BIf you're the outdoor type, you'll find skeletal creatures all over both the Western and Eastern Plaguelands. Trust me, you can't miss 'em - they certainly won't miss you if they get the chance.$B$BIf you're a dungeon type, Stratholme and Scholomance are definitely the place to be for bone fragments.;29
7150;Ah, a good question.$B$BIf you prefer hunting in the great outdoors, there are elementals here in the Plaguelands, Azshara, Burning Steppes, Felwood, Silithus, Winterspring, and even Un'Goro Crater.$B$BIf you are the type that laughs in the face of danger, then perhaps you should visit Dire Maul. I have heard that a great many elemental abberations exist within its walls. You would also do well in seeking out the elementals employed by the Dark Iron dwarves of Blackrock Depths.;29
7151;Is this a serious question? You really don't know?$B$BIf you are the cowardly sort, afraid to get their hands too dirty, you will find Dark Iron scraps on the creatures in the Burning Steppes and Searing Gorge.$B$BIf you're the bloodthirsty adventuring type, the dungeons of Blackrock Spire and Blackrock Depths hold quite a large supply of the scraps.;29
7152;If you are one that prefers to hunt in the outdoor world, both Felwood's treants and Un'Goro's lashers are an excellent source of fronds.$B$BIf you are more of a risk-taker, the eastern and western wings of Dire Maul will provide you with a nearly limitless supply of savage fronds.;29
7157;I'm far too busy to be playing 'guess the smell' with you, $r. State your business or get out of my sight!;29
7164;The time has come for Horde and Alliance to look towards the north and the invasion of the Scourge. In recent days, territories across Kalimdor and the Eastern Kingdoms have come under attack. Will you take up arms to save your land from destruction at their hands?;29
7166;This cultist is in a deep trance?;29
7168;Terrible thing, what happened to them mules... Metz is gonna have my hide for this failure.;29
7173;Welcome to Light's Hope Chapel, stranger.;29
7174;Our caravans go out 'bout twice a day, but I'll be damned if the Scourge haven't gone out of their way to stop Didier and his mules from getting shipments to the front lines. Craziest thing I've ever seen. If only we had the heroic adventurin' types to help protect the shipments...;29
7175;"I've got too much to do and not enough time to do it in, $r! Please, get out of my way.

I've got too much to do and not enough time to do it in, $r! Please, get out of my way.$B$BIf you're infected with the maggot slime or ghoul rot, I might be able to help you.";29
7193;The tides of war have come again. From the cold north, the Lich King's necropolises have laid siege to our lands.  He and his cursed general, Kel'Thuzad, send flying necropolises to invade across the world.;29
7199;"Indeed, the hills of Winterspring are currently attempting to withstand a renewed Scourge assault. Your assistance would help them greatly.$B$BNumber of Necropolises remaining: $2284W

For the time being, that area is free of Scourge influence. I fear it will only be a matter of time before they return.";29
7200;"For the time being, that area is free of Scourge influence. I fear it will only be a matter of time before they return.

It seems the army of the Scourge has come to Tanaris. A significant number of their necropolises and other forces have been dispatched there.$B$BNumber of Necropolises remaining: $2283W";29
7201;"For the time being, that area is free of Scourge influence. I fear it will only be a matter of time before they return.

The Scourge infestation grows in the Blasted Lands. Every able bodied warrior is needed to stem the tide of their invasion.$B$BNumber of Necropolises remaining: $2280W";29
7202;"For the time being, that area is free of Scourge influence. I fear it will only be a matter of time before they return.

If additional support is not soon sent to the Burning Steppes, I fear the Scourge will establish a base of operations there. If you can, you should go there to aid the defenders.$B$BNumber of Necropolises remaining: $2281W";29
7203;The Scourge are establishing small staging points in the places under attack, receiving communications and other assistance from the necropolises that fly overhead. From what we can tell, the only way to root them out is by killing the ground forces that surround the points.;29
7219;Master craftsman Omarion just vanished one night. Like a toot in the wind... Poof! Gone! Bah, now I'm the only one left to craft the goods for the boys on the front lines. ;29
7236;Gangway, ye scurvy dog!  Revilgaz has spared me from the gallows but my punishment might be nearly as bad.;29
7237;You'd better not be causing trouble, $N!;29
7238;What can I do for you, $N?  Make it quick, I don't have all day!;29
7239;What can I do for you?  No, wait!  What can you do for me?;29
7246;"We have won $2219W battles against the Scourge.  Gird yourself, $N, for this war is far from over.

We have won $2219W battles against the Scourge.  Take heart, $N.  While many battles lie ahead, heroes, heroes from every realm have risen to fight them.

We have won $2219W battles against the Scourge.  Stand firm, $N!  We must persevere!";29
7254;The Scourge brought only small forces to bear against each of Azeroth's capital cities, while their main forces periodically attack the following lands:$B$BAzshara, the Blasted Lands, the Burning Steppes, the Tanaris Desert, the Eastern Plaguelands and Winterspring.;29
7266;"For the time being, that area is free of Scourge influence. I fear it will only be a matter of time before they return.

The Scourge infestation grows in Azshara. Every able bodied warrior is needed to stem the tide of their invasion.$B$BNumber of Necropolises remaining: $2279W";29
7267;"For the time being, that area is free of Scourge influence. I fear it will only be a matter of time before they return.

The Scourge infestation grows in the Eastern Plaguelands. Every able bodied warrior is needed to stem the tide of their invasion.$B$BNumber of Necropolises remaining: $2282W";29
7037;Ah, $N, don't cry. Lucky for you, when last you gave me the amulet, I attuned myself to it. I'll just summon it back from wherever you dropped it.$B$BTry looking in your bags now.;28
7038;Never fear, Bodley is on the job! Let's see here, ah yes... there it is. Let me just summon it... and, presto!$B$BTry not to lose it again, $N.;28
7039;Yes, yes, calm down, $c, there's nothing to worry about. As luck would have it, when you first gave the left piece to me, I attuned myself to it, so summoning it back from wherever you 'misplaced' it is really not a problem.$B$BHere, and this time try to take better care of it.;28
7041;There, there, $N, worry not! Which piece of the amulet have you misplaced?$B$BDid you check all of your bags and the bank?;28
7042;There you go, $N. Good thing my powers of divination and summoning still work in this ghostly state, huh?;28
7043;You're kidding, right? Ok, ok, don't panic. Luckily when I was imbueing it with the component that you retrieved, I attuned myself to it as well. I should be able to locate and summon it from wherever it is that you left it.$B$BAre you sure that you've lost it? You looked in all of your bags and the bank?;28
7044;"You can see me? Do you know how much I'm ignored up here just because no one can see me? How refreshing to finally have someone to talk to!$B$BSo, you must have been sent by some living member of my former mercenary company, am I right? Of course I am!$B$BBut enough idle chit-chat, there's a great deal of work for you and I if you're going to put things right and return Lord Valthalak's spirit to him!

You've convinced me of your intentions, $N, and you have my thanks for being willing to help out the members of my former mercenary company, The Veiled Blade.$B$BNow let's see, what's next on our list of things to do?

Welcome back, $N. Have I mentioned how good it is to have someone to talk to?$B$BAlright then, let's get down to business. What's next that we have to do?

I guess it's all just about over, right $N? I'm going to miss you... it'll be pretty lonely up here without someone to talk to.$B$BBut that doesn't mean that you can't come back to see me in the future!

There, there, $N, worry not! Which piece of the amulet have you misplaced?$B$BDid you check all of your bags and the bank?";28
7070;Thrall has shown great kindness in granting me sanctuary within his domain.  I do not wish to overstay my welcome, at any rate.  It would be a great dishonor if I brought any trouble to our leader.;28
7071;Try not to draw too much attention, I'm waiting for the King to grant me audience.  Not that I mind waiting, I feel pretty safe around all these burly guards.;28
7082;"Losing my life was a danger I had come to terms with.  Losing Ysida is something I cannot endure, even after my own death.

Ysida lives thanks to your courage, $N.  I am deeply in your debt and shall assist you as much as it is in my power.";28
7085;"<Bodley looks at you dubiously, but continues...>$B$BThere we are, spellbook in hand, and Kormok, our two-headed ogre necromancer, gets this strange look in all four of his eyes. It was really creepy, because that second set of eyes always kind of looked dead, like a cow's eyes, you know? So, all of a sudden he just reaches out and rips this amulet off that Valthalak was wearing.$B$BThe rest of the company went crazy; some of us telling them to leave it alone, and others who wanted it for themselves.";28
7086;"Oh yes, that's right.$B$BSo, here we are invading deep into the upper reaches of Blackrock Spire, against their lord and leader; this was before Drakkisath. Not too smart if you ask me, but our leader, Anthion Harmon, you met him, was always one who loved a challenge.$B$BSurprisingly, everything went according to plan, right up to the point where we were prying Valthalak's spellbook out of his stiff fingers. That's when it all went south.$B$BShould I continue? You look like your eyes are glazing over.";28
7087;It's quite simple, really, $N. My old merc company, The Veiled Blade, took the wrong mission at the wrong time.$B$BWe were hired by a goblin smuggler out of Booty Bay, one Gremnik Rizzlesprang, who was covetous of Lord Valthalak's spellbook. Or, maybe there was some old rivalry there? I suppose we'll never know now, because Gremnik was killed not too long ago by a group of Valthalak's spectral assassins. They really can be very deadly when a large number of them gather.$B$BWhere was I?;28
7088;We broke up afterward, that's what happened. Too much bad blood, I guess...it had been building for a while. And the thing with the amulet was the straw that broke the kodo's back.$B$BEver since then Valthalak's servants have been picking us off one by one. Most of the amulet piece holders are dead, their souls corrupted by the portion of Valthalak's spirit contained within it.$B$BThat's why I'm glad that you're here, $N. With your help we'll be able to recombine the amulet and return it to Lord Valthalak!;28
7089;Cool your heels!$B$B<Bodley grumbles something under his breath about the impatience of the living>$B$BAs I was saying, Lord Valthalak's spirit and spectral assassins, summoned forth through his necromantic dabbling, started to assail us. Let me tell you, at that point we weren't in any condition to fight back, so we ran. I can still remember Mor Grayhoof, one of our druids, slip and fall at one point into the lower reaches of the spire.$B$BThe rest as they say, is history.;28
7090;Sheesh, you don't have to beg! Anyways, I'm almost done with the story.$B$BSo, the whole company is in the middle of that massive chamber fighting over this amulet, and you know how it echoes in there! In the end it was broken into three pieces, and we rolled the dice, with it going to various people or groups.$B$BThe rest is a bit of a blur, though, because it was at about that time that old Valthalak's spirit decided to make an entrance and start summoning forth all of these spectral assassins.;28
7091;I'll be fine for now, don't worry about me.  I'll find a way out of here once I've performed some cleansing rituals in this room.  Foul magic taints this place, $N.;28
7092;Talk about making the wrong investment!$B$BLord Valthalak's dark book of spells fetched a pretty penny in the black market.  It's too bad he didn't take too kindly to getting his possessions stolen.  That stinker got us even after he'd been dead for months!;28
6539;It is we who must make the first strike. We cannot be allowed to repeat the mistakes of the past?;27
6599;"We have all the copper bars that we need. Thank you for your assistance, $c. You might wanna help out with the other materials being collected here.

$C, I need more copper bars! There's a war brewing at the Gates of Ahn'Qiraj and we need supplies! The Alliance has collected $1997w and we need $1998w copper bars in total. If I don't get those copper bars, it's going to be my head on a platter!

It's all over 'cept for the crying now. All of the war materiel is being transported to Cenarion Hold in Silithus, and will be there in less than $2113w days. Shouldn't be much longer until the scepter is assembled and the war finally begins.

It's all over 'cept for the crying now. All of the war materiel is being transported to Cenarion Hold in Silithus, and the last of it will be there in less than a day. Shouldn't be much longer until the scepter is assembled and the war finally begins.

Haha, $g boyo : girlie;! The Alliance has gathered everything that we're needin' to get this here war started! Maybe the Horde will catch up soon?";27
6602;"Listen up, flapjack, we're in for the fight of our lives with the bugs in Ahn'Qiraj and we need to get prepared for it. I'm collecting iron bars here.  Currently, the Alliance only has $2002w iron bars, but we're projected to need a total of $2003w for the war effort.

Thanks to everyone's efforts we now have all the iron bars that we need. Check with one of the others to see if there's something else you should be out there collecting for the war effort. Me, I'm going to see if I can get out of here a little early to play some cards.

Woo hoo, here we go! Everyone's collected everything, and it's all being airlifted via zeppelin to Silithus as we speak. The last of it should be there in less than $2113w days. Once it's all over there, and the scepter has been assembled, the war against those dirty insects can begin. As they say, 'Ship It!' 

Woo hoo, here we go! Everyone's collected everything, and it's all being airlifted via zeppelin to Silithus as we speak. The last of it should be there in less than a day. Once it's all over there, and the scepter has been assembled, the war against those dirty insects can begin. As they say, 'Ship It!'

Well, well, what do you know, sparky, we did it. Everything's collected and ready to go. We're just waiting on those Horde yahoos now, and once they get their act together it's off to the races at Ahn'Qiraj!";27
6603;"Hello, $c. From what I've been told, everything's been collected, and all of the materiel for the war is being shipped over to Silithus as we speak. It should all be there in less than $2113w days. Once that's done, and the gong has been rung with the Scepter of the Shifting Sands, the war will really begin.

Hello, $c. From what I've been told, everything's been collected, and all of the materiel for the war is being shipped over to Silithus as we speak. It should all be there in less than a day. Once that's done, and the gong has been rung with the Scepter of the Shifting Sands, the war will really begin.

It would appear dear that the Alliance has managed to collect everything needed for the war effort. Now all that we're waiting on are those poor Horde creatures to finish with theirs.

$C, please listen to what I have to say. The Alliance and Horde are preparing for a war with the Silithid and their masters in Ahn'Qiraj. Any assistance that you can lend will be greatly appreciated. As you can see, I am collecting thorium bars here for the war effort. We need to gather $2012w in total, and currently we have $2011w.

Thank you for checking in with me, $c. We now have all of the thorium bars that we'll need, but you may want to ask some of the others here that are in charge of different collection efforts.";27
6604;"It's true, even stranglekelp can be quite useful in building up what we need for the upcoming war at Ahn'Qiraj! It has so many uses, like making ice cream for hot days under the Silithus sun, as a salve for the effects of some icky plants, breathing underwater, hardening the skin, making you quick, regaining magic power; so many things I can't think of them all! Did I mention making ice cream?$B$BAnywhoodles, I've got about $2047w here, and I need a total of $2048w!

Not that I'm quite sure that you could ever possibly in a gazillion years have enough stranglekelp, what with all the ice cream one needs, but we seem to have enough. Or that's what I'm told anyway. It looks like some of the others here might need help with whatever it is that they're collecting. Understandable really when you consider that theirs just couldn't possibly be as fun as collecting stranglekelp.

That's it, everything's been collected by both sides. Now it's all being transported over to Silithus and should be there in less than $2113w days. Once that's done and someone rings the gong on the Scarab Dais with the Scepter of the Shifting Sands, the war is on!

That's it, everything's been collected by both sides. Now it's all being transported over to Silithus and should be there in less than a day. Once that's done and someone rings the gong on the Scarab Dais with the Scepter of the Shifting Sands, the war is on!

Well, looks like we've gathered up everything that the Alliance is going to need; now we're just waiting on the Horde. I think soon I'm going to see if there's any Tigule & Foror's ice cream nearby.";27
6605;"Greetings, young $c. In preparation for the war at Ahn'Qiraj against the Silithid, the Alliance has asked me to head up their collection of purple lotus. This flower has many uses that I am aware of, and thus, I have agreed to help them attain $2055w. To date we have collected $2053w.

It is with satisfaction that I relay to you we have collected all of the purple lotus that we feel we need. Thank you for your contribution to the effort, $c. If you are so inclined, there are most likely several still here that are collecting other resources for the struggle.

All is completed, young $c. Even as we speak, both the Horde and the Alliance are in the process of transporting all final goods for the war into Silithus near Cenarion Hold, which should be complete in less than $2113w days. After that, the gong near the gates of Ahn'Qiraj can be rung, and the war will begin.

All is completed, young $c. Even as we speak, both the Horde and the Alliance are in the process of transporting all final goods for the war into Silithus near Cenarion Hold, which should be complete in less than a day. After that, the gong near the gates of Ahn'Qiraj can be rung, and the war will begin.

All of the material necessary for the Alliance's contribution to the war effort has been satisfied, $c. We await the Horde's labors to be finalized and then shall move on to transporting the war materiel to Silithus.";27
6606;"Are you reporting for duty, $c? All of the war materiel for both the Horde and the Alliance is completed and being shipped to Silithus as we speak. It should all arrive in less than a day. I hope that someone has found the different pieces of the Scepter of the Shifting Sands and put them all together.

Hail, $c. As you may know, we've completed all collections necessary for the Alliance's role in the upcoming war. Now it's up to the Horde to finish with theirs and we'll ship out to Silithus.

We're preparing for war, $c. We've taken all that we're going to from the Silithid and their masters in Ahn'Qiraj. To get ready for it we're collecting all sorts of material. I'm in charge of gathering Arthas' Tears. Not sure what we need them for though. If you ask me I don't want anything to do with that madman, even if it is just a flower named after him.$B$BStill, I'm my father's daughter, and a soldier, so I do what I'm told. Currently we have $2057w and need to collect a grand total of $2058w.

I guess that's that. We have all of the Arthas' Tears necessary. You might try asking around. One of these others is sure to have something that they still need collected for the war effort.

Are you reporting for duty, $c? All of the war materiel for both the Horde and the Alliance is completed and being shipped to Silithus as we speak. It should all arrive in less than $2113w days. I hope that someone has found the different pieces of the Scepter of the Shifting Sands and put them all together.";27
