ItemList;name;Patch
22983;Rime Covered Mantle;30
22988;The End of Dreams;30
22994;Digested Hand of Power;30
23000;Plated Abomination Ribcage;30
23001;Eye of Diminution;30
23004;Idol of Longevity;30
23005;Totem of Flowing Water;30
23006;Libram of Light;30
23009;Wand of the Whispering Dead;30
23014;Iblis, Blade of the Fallen Seraph;30
23017;Veil of Eclipse;30
23018;Signet of the Fallen Defender;30
23019;Icebane Helmet;30
23020;Polar Helmet;30
23021;The Soul Harvester's Bindings;30
23023;Sadist's Collar;30
23025;Seal of the Damned;30
23027;Warmth of Forgiveness;30
23028;Hailstone Band;30
23029;Noth's Frigid Heart;30
23030;Cloak of the Scourge;30
23031;Band of the Inevitable;30
23032;Glacial Headdress;30
23033;Icy Scale Coif;30
23034;Nax PH Crit Plate Shoulders;30
23035;Preceptor's Hat;30
23036;Necklace of Necropsy;30
23037;Ring of Spiritual Fervor;30
23038;Band of Unnatural Forces;30
23039;The Eye of Nerub;30
23040;Glyph of Deflection;30
23041;Slayer's Crest;30
23042;Loatheb's Reflection;30
23043;The Face of Death;30
23044;Harbinger of Doom;30
23045;Shroud of Dominion;30
23046;The Restrained Essence of Sapphiron;30
23047;Eye of the Dead;30
23048;Sapphiron's Right Eye;30
23049;Sapphiron's Left Eye;30
23050;Cloak of the Necropolis;30
23053;Stormrage's Talisman of Seething;30
23054;Gressil, Dawn of Ruin;30
23055;Word of Thawing;30
23056;Hammer of the Twisting Nether;30
23057;Gem of Trapped Innocents;30
23059;Ring of the Dreadnaught;30
23060;Bonescythe Ring;30
23061;Ring of Faith;30
23062;Frostfire Ring;30
23063;Plagueheart Ring;30
23064;Ring of The Dreamwalker;30
23065;Ring of the Earthshatterer;30
23066;Ring of Redemption;30
23067;Ring of  the Cryptstalker;30
23068;Legplates of Carnage;30
23069;Necro-Knight's Garb;30
23070;Leggings of Polarity;30
23071;Leggings of Apocalypse;30
23073;Boots of Displacement;30
23075;Death's Bargain;30
23206;Mark of the Champion;30
23207;Mark of the Champion;30
23219;Girdle of the Mentor;30
23220;Crystal Webbed Robe;30
23221;Misplaced Servo Arm;30
23226;Ghoul Skin Tunic;30
23237;Ring of the Eternal Flame;30
23238;Stygian Buckler;30
23242;Claw of the Frost Wyrm;30
23360;Head of Instructor Razuvious;30
23545;Power of the Scourge;30
23547;Resilience of the Scourge;30
23548;Might of the Scourge;30
23549;Fortitude of the Scourge;30
23577;The Hungering Cold;30
23582;Monster - Lady Blameux;30
23583;Monster - Sir Zeliek;30
23663;Girdle of Elemental Fury;30
23664;Pauldrons of Elemental Fury;30
23665;Leggings of Elemental Fury;30
23666;Belt of the Grand Crusader;30
23667;Spaulders of the Grand Crusader;30
23668;Leggings of the Grand Crusader;30
23743;Monster - Sword 1H - Widow's Remorse;30
967;Tome of Frost Ward;29
4142;Tome of Polymorph: Pig;29
4144;Tome of Polymorph: Cow;29
4209;Grimoire of Shadow Ward;29
7725;Tabard of the Scarlet Crusade;29
9047;Tablet of Flame Shock;29
11110;Chicken Egg;29
14617;Sawbones Shirt;29
22484;Necrotic Rune;29
22485;[UNUSED] Scourge Invasion Focus Object;29
22486;[UNUSED] Scourge Invasion Boss Summoner;29
22523;Insignia of the Dawn;29
22524;Insignia of the Crusade;29
22525;Crypt Fiend Parts;29
22526;Bone Fragments;29
22527;Core of Elements;29
22528;Dark Iron Scraps;29
22529;Savage Frond;29
22568;Sealed Craftsman's Writ;29
22584;QAEnchant Cloak +3 Agility;29
22585;QAEnchant Gloves +5 Mining;29
22586;QAEnchant Gloves +5 Herbalism;29
22587;QAEnchant Boots +8% Speed;29
22588;QAEnchant Cloak +10 Shadow Resistance;29
22593;Writ of Safe Passage;29
22595;Call to Arms Announcement;29
22596;Monster - Sword2H, Horde A02;29
22600;Craftsman's Writ - Dense Weightstone;29
22601;Craftsman's Writ - Imperial Plate Chest;29
22602;Craftsman's Writ - Volcanic Hammer;29
22603;Craftsman's Writ - Huge Thorium Battleaxe;29
22604;Craftsman's Writ - Radiant Circlet;29
22605;Craftsman's Writ - Wicked Leather Headband;29
22606;Craftsman's Writ - Rugged Armor Kit;29
22607;Craftsman's Writ - Wicked Leather Belt;29
22608;Craftsman's Writ - Runic Leather Pants;29
22609;Craftsman's Writ - Brightcloth Pants;29
22610;Craftsman's Writ - Runecloth Boots;29
22611;Craftsman's Writ - Runecloth Bag;29
22612;Craftsman's Writ - Runecloth Robe;29
22613;Craftsman's Writ - Goblin Sapper Charge;29
22614;Craftsman's Writ - Thorium Grenade;29
22615;Craftsman's Writ - Gnomish Battle Chicken;29
22616;Craftsman's Writ - Thorium Tube;29
22617;Craftsman's Writ - Major Mana Potion;29
22618;Craftsman's Writ - Major Healing Potion;29
22619;Craftsman's Writ - Greater Frost Protection Potion;29
22620;Craftsman's Writ - Greater Arcane Protection Potion;29
22621;Craftsman's Writ - Flask of Petrification;29
22622;Craftsman's Writ - Stonescale Eel;29
22623;Craftsman's Writ - Plated Armorfish;29
22624;Craftsman's Writ - Lightning Eel;29
22625;Craftsman's Writ - Baked Salmon;29
22626;Craftsman's Writ - Runn Tum Tuber Surprise;29
22635;Savage Guard;29
22636;Ice Guard;29
22637;Primal Hakkari Idol;29
22638;Shadow Guard;29
22651;Outrider's Plate Legguards;29
22656;The Purifier;29
22657;Amulet of the Dawn;29
22659;Medallion of the Dawn;29
22660;Gaea's Embrace;29
22667;Bracers of Hope;29
22668;Bracers of Subterfuge;29
22672;Sentinel's Plate Legguards;29
22673;Outrider's Chain Leggings;29
22676;Outrider's Mail Leggings;29
22678;Talisman of Ascendance;29
22679;Supply Bag;29
22680;Band of Resolution;29
22681;Band of Piety;29
22683;Pattern: Gaea's Embrace;29
22688;Verimonde's Last Resort;29
22689;Sanctified Leather Helm;29
22690;Leggings of the Plague Hunter;29
22709;Monster - Sword2H, Corrupted Ashbringer;29
22711;Cloak of the Hakkari Worshipers;29
22712;Might of the Tribe;29
22713;Zulian Scepter of Rites;29
22714;Sacrificial Gauntlets;29
22715;Gloves of the Tormented;29
22716;Belt of Untapped Power;29
22718;Blooddrenched Mask;29
22720;Zulian Headdress;29
22721;Band of Servitude;29
22722;Seal of the Gurubashi Berserker;29
22723;A Letter from the Keeper of the Rolls;29
22724;Monster - Mace1H, Korth'azz;29
22725;Band of Cenarius;29
22738;Monster - Sword, 1H Uber Demon Blade;29
22739;Tome of Polymorph: Turtle;29
22740;Outrider's Leather Pants;29
22741;Outrider's Lizardhide Pants;29
22742;Bloodsail Shirt;29
22743;Bloodsail Sash;29
22744;Bloodsail Boots;29
22745;Bloodsail Pants;29
22746;Buccaneer's Uniform;29
22747;Outrider's Silk Leggings;29
22748;Sentinel's Chain Leggings;29
22749;Sentinel's Leather Pants;29
22750;Sentinel's Lizardhide Pants;29
22751;Sentinel's Plate Legguards;29
22752;Sentinel's Silk Leggings;29
22753;Sentinel's Lamellar Legguards;29
22754;Eternal Quintessence;29
22756;Sylvan Vest;29
22757;Sylvan Crown;29
22758;Sylvan Shoulders;29
22759;Bramblewood Helm;29
22760;Bramblewood Boots;29
22761;Bramblewood Belt;29
22762;Ironvine Breastplate;29
22763;Ironvine Gloves;29
22764;Ironvine Belt;29
22765;Mildewed Letter;29
22766;Plans: Ironvine Breastplate;29
22767;Plans: Ironvine Gloves;29
22768;Plans: Ironvine Belt;29
22769;Pattern: Bramblewood Belt;29
22770;Pattern: Bramblewood Boots;29
22771;Pattern: Bramblewood Helm;29
22772;Pattern: Sylvan Shoulders;29
22773;Pattern: Sylvan Crown;29
22774;Pattern: Sylvan Vest;29
22863;Blood Guard's Dragonhide Grips;29
22890;Tome of Frost Ward V;29
22891;Grimoire of Shadow Ward IV;29
22892;Dim Necrotic Stone;29
22930;A Bloodstained Envelope;29
22932;A Torn Letter;29
22944;A Crumpled Missive;29
22945;A Careworn Note;29
22946;A Ragged Page;29
22948;A Smudged Document;29
22949;Cracked Necrotic Crystal;29
22950;Faint Necrotic Crystal;29
22970;A Bloodstained Envelope;29
22972;A Careworn Note;29
22973;A Crumpled Missive;29
22974;A Ragged Page;29
22975;A Smudged Document;29
22977;A Torn Letter;29
22999;Tabard of the Argent Dawn;29
23008;Sealed Research Report;29
23010;Sealed Research Report;29
23011;Sealed Research Report;29
23012;Sealed Research Report;29
23013;Sealed Research Report;29
23016;Sealed Research Report;29
23078;Gauntlets of Undead Slaying;29
23081;Handwraps of Undead Slaying;29
23082;Handguards of Undead Slaying;29
23084;Gloves of Undead Cleansing;29
23085;Robe of Undead Cleansing;29
23087;Breastplate of Undead Slaying;29
23088;Chestguard of Undead Slaying;29
23089;Tunic of Undead Slaying;29
23090;Bracers of Undead Slaying;29
23091;Bracers of Undead Cleansing;29
23092;Wristguards of Undead Slaying;29
23093;Wristwraps of Undead Slaying;29
23122;Consecrated Sharpening Stone;29
23123;Blessed Wizard Oil;29
23124;Staff of Balzaphon;29
23125;Chains of the Lich;29
23126;Waistband of Balzaphon;29
23127;Cloak of Revanchion;29
23128;The Shadow's Grasp;29
23129;Bracers of Mending;29
23132;Lord Blackwood's Blade;29
23139;Lord Blackwood's Buckler;29
23156;Blackwood's Thigh;29
23160;Friendship Bread;29
23161;Freshly-Squeezed Lemonade;29
23162;Foror's Crate of Endless Resist Gear Storage;29
23168;Scorn's Focal Dagger;29
23169;Scorn's Icy Choker;29
23170;The Frozen Clutch;29
23171;The Axe of Severing;29
23173;Abomination Skin Leggings;29
23177;Lady Falther'ess' Finger;29
23178;Mantle of Lady Falther'ess;29
23192;Tabard of the Scarlet Crusade;29
23193;Skeletal Steed Reins;29
23194;Lesser Mark of the Dawn;29
23195;Mark of the Dawn;29
23196;Greater Mark of the Dawn;29
23197;Idol of the Moon;29
23198;Idol of Brutality;29
23199;Totem of the Storm;29
23200;Totem of Sustaining;29
23201;Libram of Divinity;29
23203;Libram of Fervor;29
23250;Prismatic Shell;29
23280;Knight-Lieutenant's Dragonhide Grips;29
23320;Tablet of Flame Shock VI;29
23328;Monster - Sword2H, Instructor Razuvious;29
23356;Monster - Shield, Skullflame;29
23369;Monster - Dagger, Claw of Chromaggus;29
23451;Grand Marshal's Mageblade;29
23452;Grand Marshal's Tome of Power;29
23453;Grand Marshal's Tome of Restoration;29
23454;Grand Marshal's Warhammer;29
23456;Grand Marshal's Swiftblade;29
23464;High Warlord's Battle Mace;29
23465;High Warlord's Destroyer;29
23466;High Warlord's Spellblade;29
23467;High Warlord's Quickblade;29
23468;High Warlord's Tome of Destruction;29
23469;High Warlord's Tome of Mending;29
23557;Larvae of the Great Worm;29
23570;Jom Gabbar;29
23578;Diet McWeaksauce;29
23579;The McWeaksauce Classic;29
21278;Stormshroud Gloves;28
21546;Elixir of Greater Firepower;28
21547;Recipe: Elixir of Greater Firepower;28
21548;Pattern: Stormshroud Gloves;28
21928;Winterspring Blood Sample;28
21935;Stable Ectoplasm;28
21936;Frozen Ectoplasm;28
21937;Scorched Ectoplasm;28
21938;Magma Core;28
21939;Fel Elemental Rod;28
21946;Ectoplasmic Distiller;28
21982;Ogre Warbeads;28
21983;Incomplete Banner of Provocation;28
21984;Left Piece of Lord Valthalak's Amulet;28
21985;Sealed Blood Container;28
21986;Banner of Provocation;28
21987;Incendicite of Incendius;28
21988;Ember of Emberseer;28
21989;Cinder of Cynders;28
21994;Belt of Heroism;28
21995;Boots of Heroism;28
21996;Bracers of Heroism;28
21997;Breastplate of Heroism;28
21998;Gauntlets of Heroism;28
21999;Helm of Heroism;28
22000;Legplates of Heroism;28
22001;Spaulders of Heroism;28
22002;Darkmantle Belt;28
22003;Darkmantle Boots;28
22004;Darkmantle Bracers;28
22005;Darkmantle Cap;28
22006;Darkmantle Gloves;28
22007;Darkmantle Pants;28
22008;Darkmantle Spaulders;28
22009;Darkmantle Tunic;28
22010;Beastmaster's Belt;28
22011;Beastmaster's Bindings;28
22013;Beastmaster's Cap;28
22014;Hallowed Brazier;28
22015;Beastmaster's Gloves;28
22016;Beastmaster's Mantle;28
22017;Beastmaster's Pants;28
22046;Right Piece of Lord Valthalak's Amulet;28
22047;Top Piece of Lord Valthalak's Amulet;28
22048;Lord Valthalak's Amulet;28
22049;Brazier of Beckoning;28
22050;Brazier of Beckoning;28
22051;Brazier of Beckoning;28
22052;Brazier of Beckoning;28
22056;Brazier of Beckoning;28
22057;Brazier of Invocation;28
22060;Beastmaster's Tunic;28
22061;Beastmaster's Boots;28
22062;Sorcerer's Belt;28
22063;Sorcerer's Bindings;28
22064;Sorcerer's Boots;28
22065;Sorcerer's Crown;28
22066;Sorcerer's Gloves;28
22067;Sorcerer's Leggings;28
22068;Sorcerer's Mantle;28
22069;Sorcerer's Robes;28
22070;Deathmist Belt;28
22071;Deathmist Bracers;28
22072;Deathmist Leggings;28
22073;Deathmist Mantle;28
22074;Deathmist Mask;28
22075;Deathmist Robe;28
22076;Deathmist Sandals;28
22077;Deathmist Wraps;28
22078;Virtuous Belt;28
22079;Virtuous Bracers;28
22080;Virtuous Crown;28
22081;Virtuous Gloves;28
22082;Virtuous Mantle;28
22083;Virtuous Robe;28
22084;Virtuous Sandals;28
22085;Virtuous Skirt;28
22086;Soulforge Belt;28
22087;Soulforge Boots;28
22088;Soulforge Bracers;28
22089;Soulforge Breastplate;28
22090;Soulforge Gauntlets;28
22091;Soulforge Helm;28
22092;Soulforge Legplates;28
22093;Soulforge Spaulders;28
22094;Bloodkelp;28
22095;Bindings of The Five Thunders;28
22096;Boots of The Five Thunders;28
22097;Coif of The Five Thunders;28
22098;Cord of The Five Thunders;28
22099;Gauntlets of The Five Thunders;28
22100;Kilt of The Five Thunders;28
22101;Pauldrons of The Five Thunders;28
22102;Vest of The Five Thunders;28
22106;Feralheart Belt;28
22107;Feralheart Boots;28
22108;Feralheart Bracers;28
22109;Feralheart Cowl;28
22110;Feralheart Gloves;28
22111;Feralheart Kilt;28
22112;Feralheart Spaulders;28
22113;Feralheart Vest;28
22115;Extra-Dimensional Ghost Revealer;28
22137;Ysida's Satchel;28
22138;Blackrock Bracer;28
22139;Ysida's Locket;28
22149;Beads of Ogre Mojo;28
22150;Beads of Ogre Might;28
22151;Anthion's Holy Water;28
22152;Anthion's Pouch;28
22191;Obsidian Mail Tunic;28
22192;Bloodkelp Elixir of Dodging;28
22193;Bloodkelp Elixir of Resistance;28
22194;Black Grasp of the Destroyer;28
22195;Light Obsidian Belt;28
22196;Thick Obsidian Breastplate;28
22197;Heavy Obsidian Belt;28
22198;Jagged Obsidian Shield;28
22202;Small Obsidian Shard;28
22203;Large Obsidian Shard;28
22204;Wristguards of Renown;28
22205;Black Steel Bindings;28
22207;Sash of the Grand Hunt;28
22208;Lavastone Hammer;28
22209;Plans: Heavy Obsidian Belt;28
22212;Golem Fitted Pauldrons;28
22214;Plans: Light Obsidian Belt;28
22216;Venoxis's Venom Sac;28
22217;Kurinnaxx's Venom Sac;28
22219;Plans: Jagged Obsidian Shield;28
22220;Plans: Black Grasp of the Destroyer;28
22221;Plans: Obsidian Mail Tunic;28
22222;Plans: Thick Obsidian Breastplate;28
22223;Foreman's Head Protector;28
22224;Jeering Spectre's Essence;28
22225;Dragonskin Cowl;28
22226;Druidical Remains;28
22227;Starbreeze Village Relic;28
22228;Brilliant Sword of Zealotry;28
22229;Soul Ashes of the Banished;28
22231;Kayser's Boots of Precision;28
22232;Marksman's Girdle;28
22234;Mantle of Lost Hope;28
22240;Greaves of Withering Despair;28
22241;Dark Warder's Pauldrons;28
22242;Verek's Leash;28
22245;Soot Encrusted Footwear;28
22246;Enchanted Mageweave Pouch;28
22247;Faith Healer's Boots;28
22248;Enchanted Runecloth Bag;28
22249;Big Bag of Enchantment;28
22250;Herb Pouch;28
22251;Cenarion Herb Bag;28
22252;Satchel of Cenarius;28
22253;Tome of the Lost;28
22254;Wand of Eternal Light;28
22255;Magma Forged Band;28
22256;Mana Shaping Handwraps;28
22257;Bloodclot Band;28
22267;Spellweaver's Turban;28
22268;Draconic Infused Emblem;28
22269;Shadow Prowler's Cloak;28
22270;Entrenching Boots;28
22271;Leggings of Frenzied Magic;28
22272;Forest's Embrace;28
22274;Grizzled Pelt;28
22275;Firemoss Boots;28
22301;Ironweave Robe;28
22302;Ironweave Cowl;28
22303;Ironweave Pants;28
22304;Ironweave Gloves;28
22305;Ironweave Mantle;28
22306;Ironweave Belt;28
22307;Pattern: Enchanted Mageweave Pouch;28
22308;Pattern: Enchanted Runecloth Bag;28
22309;Pattern: Big Bag of Enchantment;28
22310;Pattern: Cenarion Herb Bag;28
22311;Ironweave Boots;28
22312;Pattern: Satchel of Cenarius;28
22313;Ironweave Bracers;28
22314;Huntsman's Harpoon;28
22315;Hammer of Revitalization;28
22317;Lefty's Brass Knuckle;28
22318;Malgen's Long Bow;28
22319;Tome of Divine Right;28
22320;Mux's Quality Goods;28
22321;Heart of Wyrmthalak;28
22322;The Jaw Breaker;28
22324;Winter Kimchi;28
22325;Belt of the Trickster;28
22326;Amalgam's Band;28
22327;Amulet of the Redeemed;28
22328;Legplates of Vigilance;28
22329;Scepter of Interminable Focus;28
22330;Shroud of Arcane Mastery;28
22331;Band of the Steadfast Hero;28
22332;Blade of Necromancy;28
22333;Hammer of Divine Might;28
22334;Band of Mending;28
22335;Lord Valthalak's Staff of Command;28
22336;Draconian Aegis of the Legion;28
22337;Shroud of Domination;28
22338;Volcanic Ash;28
22339;Rune Band of Wizardry;28
22340;Pendant of Celerity;28
22342;Leggings of Torment;28
22343;Handguards of Savagery;28
22344;Brazier of Invocation: User's Manual;28
22345;Totem of Rebirth;28
22347;Fahrad's Reloading Repeater;28
22348;Doomulus Prime;28
22377;The Thunderwood Poker;28
22378;Ravenholdt Slicer;28
22379;Shivsprocket's Shiv;28
22380;Simone's Cultivating Hammer;28
22381;Silithus Venom Sample;28
22382;Sealed Venom Container;28
22383;Sageblade;28
22384;Persuader;28
22385;Titanic Leggings;28
22388;Plans: Titanic Leggings;28
22389;Plans: Sageblade;28
22390;Plans: Persuader;28
22392;Formula: Enchant 2H Weapon - Agility;28
22394;Staff of Metanoia;28
22395;Totem of Rage;28
22396;Totem of Life;28
22397;Idol of Ferocity;28
22398;Idol of Rejuvenation;28
22399;Idol of Health;28
22400;Libram of Truth;28
22401;Libram of Hope;28
22402;Libram of Grace;28
22403;Diana's Pearl Necklace;28
22404;Willey's Back Scratcher;28
22405;Mantle of the Scarlet Crusade;28
22407;Helm of the New Moon;28
22408;Ritssyn's Wand of Bad Mojo;28
22409;Tunic of the Crescent Moon;28
22410;Gauntlets of Deftness;28
22411;Helm of the Executioner;28
22412;Thuzadin Mantle;28
22432;Devilsaur Barb;28
22433;Don Mauricio's Band of Domination;28
22434;Bloodcap;28
22435;Gorishi Sting;28
22444;Putrid Vine;28
22458;Moonshadow Stave;28
22472;Boots of Ferocity;28
20383;Head of the Broodlord Lashlayer;27
20384;Silithid Carapace Fragment;27
20402;Agent of Nozdormu;27
20403;Proxy of Nozdormu;27
20415;The War of the Shifting Sands;27
20725;Nexus Crystal;27
20726;Formula: Enchant Gloves - Threat;27
20727;Formula: Enchant Gloves - Shadow Power;27
20728;Formula: Enchant Gloves - Frost Power;27
20729;Formula: Enchant Gloves - Fire Power;27
20730;Formula: Enchant Gloves - Healing Power;27
20731;Formula: Enchant Gloves - Superior Agility;27
20732;Formula: Enchant Cloak - Greater Fire Resistance;27
20733;Formula: Enchant Cloak - Greater Nature Resistance;27
20734;Formula: Enchant Cloak - Stealth;27
20735;Formula: Enchant Cloak - Subtlety;27
20736;Formula: Enchant Cloak - Dodge;27
20741;Deadwood Ritual Totem;27
20742;Winterfall Ritual Totem;27
20744;Minor Wizard Oil;27
20745;Minor Mana Oil;27
20746;Lesser Wizard Oil;27
20747;Lesser Mana Oil;27
20748;Brilliant Mana Oil;27
20749;Brilliant Wizard Oil;27
20750;Wizard Oil;27
20752;Formula: Minor Mana Oil;27
20753;Formula: Lesser Wizard Oil;27
20754;Formula: Lesser Mana Oil;27
20755;Formula: Wizard Oil;27
