CreatureList;name;patch
15817;Qiraji Brigadier General Pax-lish;27
15818;Lieutenant General Nokhor;27
15839;Might of Kalimdor Grunt;27
15840;Might of Kalimdor Sergeant;27
15841;Might of Kalimdor Lieutenant;27
15842;Might of Kalimdor Mage;27
15843;Might of Kalimdor Priest;27
15844;Might of Kalimdor Restorer;27
15845;Might of Kalimdor Captain;27
15846;Might of Kalimdor Archer;27
15847;Might of Kalimdor Shaman;27
15848;Might of Kalimdor Infantry;27
15849;Might of Kalimdor Druid;27
15850;Might of Kalimdor Skirmisher;27
15851;Might of Kalimdor Marshal;27
15852;Orgrimmar Elite Shieldguard;27
15853;Orgrimmar Elite Infantryman;27
15854;Orgrimmar Elite Cavalryman;27
15855;Tauren Rifleman;27
15856;Tauren Primalist;27
15857;Stormwind Cavalryman;27
15858;Stormwind Infantryman;27
15859;Stormwind Archmage;27
15860;Kaldorei Marksman;27
15861;Ironforge Infantryman;27
15862;Ironforge Cavalryman;27
15863;Darkspear Shaman;27
15865;Might of Kalimdor Major;27
15866;High Commander Lynore Windstryke;27
15867;Might of Kalimdor Archmage;27
15868;Highlord Leoric Von Zeldig;27
15869;Malagav the Tactician;27
15870;Duke August Foehammer;27
15878;Warcaller Finster;27
15896;C'Thun Portal;27
15901;Vanquished Tentacle;27
15903;Sergeant Carnes;27
15904;Tentacle Portal;27
15910;Giant Tentacle Portal;27
15922;Viscidus Trigger;27
15934;Hive'Zara Hornet;27
15957;Ouro Spawner;27
15962;Vekniss Hatchling;27
15963;The Master's Eye;27
15964;Buru Egg Trigger;27
15984;Sartura's Royal Guard;27
16091;Dirk Thunderwood;27
16139;Cenarion Hold Reservist;27
16450;She number one;27
16454;She number two;27
16455;She number three;27
17068;Chief Expeditionary Requisitioner Enkles;27
17070;Apothecary Quinard;27
1227;Rygal Rocknell;26
2801;Tresa MacGregor;26
11803;Twilight Keeper Exeter;26
11804;Twilight Keeper Havunth;26
14862;Emissary Roman'khan;26
14887;Ysondre;26
14888;Lethon;26
14889;Emeriss;26
14890;Taerar;26
15165;Haughty Modiste;26
15169;Ralo'shan the Eternal Watcher;26
15170;Rutgar Glyphshaper;26
15171;Frankal Stonebridge;26
15172;Glibb;26
15174;Calandrath;26
15175;Khur Hornstriker;26
15176;Vargus;26
15177;Cloud Skydancer;26
15178;Runk Windtamer;26
15179;Mishta;26
15180;Baristolth of the Shifting Sands;26
15181;Commander Mar'alith;26
15182;Vish Kozus;26
15183;Geologist Larksbane;26
15184;Cenarion Hold Infantry;26
15189;Beetix Ficklespragg;26
15190;Noggle Ficklespragg;26
15191;Windcaller Proudhorn;26
15194;Hermit Ortell;26
15196;Deathclasp;26
15200;Twilight Keeper Mayna;26
15201;Twilight Flamereaver;26
15202;Vyral the Vile;26
15203;Prince Skaldrenox;26
15204;High Marshal Whirlaxis;26
15205;Baron Kazum;26
15206;The Duke of Cynders;26
15207;The Duke of Fathoms;26
15208;The Duke of Shards;26
15209;Crimson Templar;26
15211;Azure Templar;26
15212;Hoary Templar;26
15213;Twilight Overlord;26
15215;Mistress Natalia Mar'alith;26
15220;The Duke of Zephyrs;26
15221;Frankal Invisible Trigger;26
15222;Rutgar Invisible Trigger;26
15224;Dream Fog;26
15260;Demented Druid Spirit;26
15261;Spirit Shade;26
15270;Huum Wildmane;26
15282;Aurel Goldleaf;26
15286;Xil'xix;26
15288;Aluntir;26
15290;Arakis;26
15293;Aendel Windspear;26
15302;Shade of Taerar;26
15305;Lord Skwol;26
15306;Bor Wildmane;26
15307;Earthen Templar;26
15308;Twilight Prophet;26
15315;Mylini Frostmoon;26
15362;Malfurion Stormrage;26
15419;Kania;26
15614;J.D. Shadesong;26
15660;Eranikus Transformed;26
15722;Squire Leoren Mal'derath;26
16543;Garon Hutchins;26
857;Donal Osgood;25
907;Keras Wolfheart;25
11338;Hakkari Shadowcaster;25
11339;Hakkari Shadow Hunter;25
11340;Hakkari Blood Priest;25
11347;Zealot Lor'Khan;25
11348;Zealot Zath;25
11350;Gurubashi Axe Thrower;25
11351;Gurubashi Headhunter;25
11352;Gurubashi Berserker;25
11353;Gurubashi Blood Drinker;25
11356;Gurubashi Champion;25
11357;Son of Hakkar;25
11359;Soulflayer;25
11360;Zulian Cub;25
11361;Zulian Tiger;25
11365;Zulian Panther;25
11368;Bloodseeker Bat;25
11370;Razzashi Broodwidow;25
11371;Razzashi Serpent;25
11372;Razzashi Adder;25
11373;Razzashi Cobra;25
11374;Hooktooth Frenzy;25
11375;[UNUSED] Zath;25
11376;[UNUSED] Lor'khan;25
11380;Jin'do the Hexxer;25
11382;Bloodlord Mandokir;25
11387;Sandfury Speaker;25
11388;Witherbark Speaker;25
11389;Bloodscalp Speaker;25
11390;Skullsplitter Speaker;25
11391;Vilebranch Speaker;25
11830;Hakkari Priest;25
11831;Hakkari Witch Doctor;25
12198;Martin Lindsey;25
13517;Seasoned Outrunner;25
13518;Veteran Outrunner;25
13519;Champion Outrunner;25
13520;Stormpike Ranger;25
13521;Seasoned Ranger;25
13522;Veteran Ranger;25
13523;Champion Ranger;25
14122;Massive Geyser;25
14507;High Priest Venoxis;25
14509;High Priest Thekal;25
14510;High Priestess Mar'li;25
14515;High Priestess Arlokk;25
14517;High Priestess Jeklik;25
14532;Razzashi Venombrood;25
14750;Gurubashi Bat Rider;25
14758;Zul'Gurub Trigger;25
14821;Razzashi Raptor;25
14825;Withered Mistress;25
14826;Sacrificed Troll;25
14834;Hakkar;25
14848;Herald;25
14875;Molthor;25
14876;Zandalar Headshrinker;25
14877;High Priest Venoxis Transform Visual;25
14879;Arathi Basin Battlemaster;25
14880;Razzashi Skitterer;25
14881;Spider;25
14882;Atal'ai Mistress;25
14883;Voodoo Slave;25
14884;Parasitic Serpent;25
14902;Jin'rokh the Breaker;25
14903;Al'tabim the All-Seeing;25
14904;Maywiki of Zuldazar;25
14905;Falthir the Sightless;25
14910;Exzhal;25
14911;Zandalar Enforcer;25
14912;Captured Hakkari Zealot;25
14921;Rin'wosho the Trader;25
14941;High Priestess Jeklik Transform Visual;25
14965;Frenzied Bloodseeker Bat;25
14966;High Priest Thekal Transform Visual;25
14967;High Priestess Mar'li Transform Visual;25
14968;High Priestess Arlokk Transform Visual;25
14983;Field Marshal Oslight;25
14984;Sergeant Maclear;25
14986;Shade of Jin'do;25
14987;Powerful Healing Ward;25
14988;Ohgan;25
14989;Poisonous Cloud;25
14990;Defilers Emissary;25
14991;League of Arathor Emissary;25
14994;Zandalarian Event Generator;25
15001;PvP A-Mid Credit Marker;25
15002;PvP Mid Credit Marker;25
15003;PvP H-Mid Credit Marker;25
15004;PvP ALT-S Credit Marker;25
15005;PvP ALT-N Credit Marker;25
15006;Deze Snowbane;25
15007;Sir Malory Wheeler;25
15008;Lady Hoteshem;25
15009;Voodoo Spirit;25
15010;Jungle Toad;25
15021;Deathmaster Dwire;25
15022;Deathstalker Mortis;25
15041;Spawn of Mar'li;25
15042;Zanza the Restless;25
15043;Zulian Crocolisk;25
15045;Arathi Farmer;25
15046;Forsaken Farmer;25
15047;Gurubashi;25
15061;Spirit of Jin'do;25
15062;Arathi Lumberjack;25
15063;Arathi Blacksmith;25
15064;Forsaken Blacksmith;25
15065;Lady;25
15066;Cleo;25
15067;Zulian Stalker;25
15068;Zulian Guardian;25
15069;Heart of Hakkar;25
15070;Vinchaxa;25
15071;Underfoot;25
15072;Spike;25
15073;Pat's Hellfire Guy;25
15074;Arathi Miner;25
15075;Forsaken Miner;25
15076;Zandalarian Emissary;25
15077;Riggle Bassbait;25
15078;Jang;25
15079;Fishbot 5000;25
15080;Servant of the Hand;25
15081;Gri'lek;25
15082;Gri'lek;25
15083;Hazza'rah;25
15084;Renataki;25
15085;Wushoolay;25
15086;Arathi Stablehand;25
15087;Forsaken Stablehand;25
15088;Booty Bay Elite;25
15089;Forsaken Lumberjack;25
15090;Swift Razzashi Raptor;25
15091;Zul'Gurub Panther Trigger;25
15101;Zulian Prowler;25
15102;Silverwing Emissary;25
15103;Stormpike Emissary;25
15104;Swift Zulian Tiger;25
15105;Warsong Emissary;25
15106;Frostwolf Emissary;25
15107;Arathi Horse;25
15108;Forsaken Horse;25
15109;Primal Blessing Visual;25
15110;Gurubashi Prisoner;25
15111;Mad Servant;25
15112;Brain Wash Totem;25
15114;Gahz'ranka;25
15116;Grinkle;25
15117;Chained Spirit;25
15118;Master Angler Form;25
15119;Barrus;25
15122;Gahz'ranka Dead;25
15126;Rutherford Twing;25
15127;Samuel Hawke;25
15128;Defiler Elite;25
15130;League of Arathor Elite;25
15139;Gahz'ranka Herald;25
15141;Portal of Madness;25
15146;Mad Voidwalker;25
15163;Nightmare Illusion;25
347;Grizzle Halfmane;24
2302;Aethalas;24
2804;Kurden Bloodclaw;24
3890;Brakgul Deathbringer;24
5118;Brogun Stoneshield;24
7410;Thelman Slatefist;24
7427;Taim Ragetotem;24
7549;Tree Frog;24
